text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
معلم خمسيني وما عندو علاش يحشم. استغل تلميذة قاصر جنسيا سيمانة كاملة https://t.co/SYAYbHfUnv,negative,negative,negative,negative,negative,negative,negative,negative,negative
@PJDofficiel bonjour واش دابا تسالو ليكم فاتيفلوغات ديال الموغريب دزتو لديال فرنسا يا وﻻد الحمقة ؟ https://t.co/DVp5y91hKl,negative,negative,negative,negative,negative,negative,negative,negative,negative
مبروك، وقتاش العرس؟ https://t.co/RgVfj4Kazp,positive,negative,negative,negative,negative,negative,negative,negative,negative
نداء هام،  تقاسم هذ المعلومة مع الأصدقاء ديالك إلى بغيتي نحققوا شي ناجاح فهذا بلاد. وشكرا https://t.co/o32tXjP845,positive,negative,negative,negative,positive,negative,negative,negative,negative
مساج لشفار  : أودي كون عرفتي داكشي ليكتدي لبنادم غي ديالك لي كنت غتخدو في الحلال خديتيه في الحرام او نتا أنصاب... https://t.co/7sk5s3Osc2,negative,negative,negative,negative,negative,negative,negative,negative,negative
@fadwaalmalki داك شي علاش بقات عالقة  بدهني لانها كانت روعة ^^,positive,negative,negative,negative,negative,negative,negative,negative,negative
شكون الحمار الي فكر يدير طرامواي هنا (@ درب السلطان قيسارية الحفاري) https://t.co/hwYWcASOAE,negative,negative,negative,negative,negative,negative,negative,negative,negative
@FLaarous @Ihab_Amir  شكرا بزاف الفنانة الغزالة ديالنا فاطة الزهراالعروسي الله يوفقك في مسارك الفني وشكرا لدعمك ومباركتك لايهاب #مادرنا_والو,positive,positive,positive,positive,positive,positive,positive,positive,positive
اوزين بزاف كاع على الفضائح و الاختلاسات و مفهمتش كيفاش هاد السيد مدارو معاه والو,negative,positive,positive,negative,positive,negative,positive,negative,negative
الفتاة الفلسطينية  رمز الشرف,positive,negative,negative,negative,negative,negative,negative,negative,negative
شكون لي فهم ؟  للآسف هذا هو المغرب.. http://t.co/VgwT488HEx,negative,negative,negative,negative,positive,negative,negative,negative,negative
@La_Khaoula راه غنعيط ليماك على المخزن يضربوك بشي ثلث شهور ديال الحبس,negative,negative,negative,negative,negative,negative,negative,negative,negative
وزراء العدالة والتنمية ماشي رجال. غير واحد فيهم اللي ما طلعش شماتة وها علاش =لائحة 11 وزير ما عندهمش قطاعات واعرة https://t.co/s2zouecLXN,negative,negative,negative,negative,positive,negative,negative,positive,positive
انا لمبغاش اتفهم ليا هما هادوك لتشفرو من الجامع زعما حتال هاد الدرجة وصلت بيك القضية، وليتي طامع حتى فالزرابي و الر… https://t.co/SlGluAj3vB,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Khalilchebbi19 @weldmagh شكون يبكي و رافض يلعب ماتش بدون غش و لا تزوير.. حابين تاخدوها ظلما كما العادة.. ومن قالك… https://t.co/uMTJsgB5M2,negative,negative,negative,negative,negative,negative,negative,negative,negative
@mer1ouane سمحلي خاصنا نتعلموا اللوجيك ديالك أمول اللوجيك يا إما تكون بحالي يا إما انت عياش ولا لحاس الكابا,negative,negative,negative,negative,negative,negative,negative,negative,negative
بنكيران: نتوما آطنجاوة مرخيين.. جمعوا راسكوم شوية https://t.co/bvCitze2bK,negative,negative,negative,negative,negative,negative,negative,negative,negative
@itshananeha قاليك العبرة فأدوار خروج المغلوب ولد الحرام غي خليه دابا تخشى ليه مع مدغشقر,negative,positive,positive,positive,positive,positive,positive,negative,positive
من قبل كانوا بعض الفنانة باش ايثروا الانتباه تيديرو داكشي ديال لعرا بشكل مفروش ولا علاقة له بالفن. 1/3.,negative,positive,positive,negative,positive,positive,positive,positive,positive
@7_7hadda صافي ضارك راسك دابا، من بعد @karimOUTTA,negative,negative,negative,negative,positive,negative,negative,negative,negative
@Ahlam88110397 داكوستا دائما ضعيف جدا كرة فالرجل، ما فهمتش علاش تايلعب فالمنتخب، ربما للصلابة الدفاعية و الكرات الهوائية.,negative,positive,positive,negative,positive,negative,negative,positive,positive
يا سلام ليست من اختيارك وثابتة لواه النبك  ذنوب الإنسانة الثانية اللي حطمتي علاش غادي تخطب ملي ماشي قد المستوى هزيتي ذنوب كثيرة ربي يلطف بيك,negative,negative,negative,negative,negative,negative,negative,negative,negative
محمد مرسي يحاسب في سنة ما لم يحاسب عليه الفراعنة طوال حكمهم ... علاش ؟ حيت مزغب ... ولو حكم مصر بالعدل والمساواة... http://t.co/EVfN32JsvQ,negative,negative,negative,negative,negative,negative,negative,negative,negative
كيفاش بغيتي تفضح الفساد وهو متفشي في كل زاوية  ستكون الدون كيشوت الذي يحارب طواحين الهواء #لله_المشتكى,negative,negative,negative,negative,positive,negative,negative,negative,negative
فالحالتين بجوج هذزك رباعة ديال الوصوليين لا علاقة لهم بالفن 3/3,negative,negative,negative,negative,negative,negative,negative,negative,negative
بوصمّة: قتلت 6 فنهار واحد وها علاش قتلتهم https://t.co/jyNjEcO8Nd,positive,negative,negative,negative,negative,negative,negative,negative,negative
نتسناو نشوفو كيفاش أنخسرو ! https://t.co/YyCZ43cXod,negative,negative,negative,negative,negative,negative,negative,negative,negative
زوين زوين أول خروج إعلامي له و يصل إلا العالمية ههههه مزيان تعاونو دراري والله ، الله يقدرنا على مساعدتكم,positive,negative,negative,negative,negative,negative,negative,negative,negative
@greenadilaida @asmaa_tw @GhaliBensouda و علاش كانو منودين عليهم حيحة وبغاو يريبو ليهم؟,negative,negative,negative,negative,negative,negative,negative,negative,negative
وانا قول الديسير علاش غلا,negative,positive,positive,negative,positive,negative,positive,negative,positive
ندمت علاش صايبت هاد التويتر,negative,negative,negative,negative,positive,negative,negative,negative,negative
@DonChuchote @samaeben @Siiimohamed7 هادشي راجع لقوة الشفوي لي فشي بعضين ما نياضلو ما يخليو لي يناضل,negative,negative,negative,negative,negative,negative,negative,negative,negative
@StaracArabia @Ihab_Amir @SuhilaBnLachhab يويويويويويوويوي مبرووووك الف مبرووووك الكبيدات ديالنا,positive,negative,negative,negative,negative,negative,negative,negative,negative
@said_nourddine ما كاينش اللي خارج على الكرة قد هاد التفكير و الهدرة ديال بعض المحسوبين,negative,positive,positive,positive,positive,positive,positive,positive,positive
@MayarChaffei @hsinaa ميار حيت الوعي و الحس الفني مكينش مكيعجبنيش الواحد علاش نحاربو حنان كل ما يعلنو على استضافتها فبرنامج يهجمو يسبوا عيب,negative,negative,negative,negative,positive,positive,negative,negative,negative
ردو البال.. خطر السخانات: The post ردو البال.. خطر السخانات appeared first on كيفاش. http://t.co/hroJPokRjm,negative,negative,negative,positive,negative,positive,negative,negative,negative
# ماجانيش نعاس مع هد الجو ديال الصهد #,negative,negative,negative,negative,negative,negative,negative,negative,negative
@greenadilaida را كتشوف شي بشار لا علاقة مع كورة باغي غا يفرغ المكبوتات ديالو و صافي,negative,negative,negative,negative,negative,negative,negative,negative,negative
معرفتش علاش هاد الحكام كيغلطو غا ف ماتشات ديال الراجا,negative,negative,negative,negative,positive,negative,negative,negative,negative
@aminalovesouka امينة حبيبية يلاه جبت وشفت تويتات ديالك وي داز وااعر واستقبال الملوك,positive,positive,positive,positive,negative,positive,negative,negative,negative
#تحدي_السرطان اللي بغا يعرف الحياة معندها قيمة، يمشي لقسم oncologie فشي مستشفى. لبارح شفت شي أطفال صغار مراض، زعما… https://t.co/xUSoJJPrFk,negative,positive,positive,positive,negative,positive,positive,negative,positive
علاش داك تعواج لفم وتقلاب لعينين مشيتي تغني ولا مشيتي تصيدي معفونة لاصقة فكلون ماعندكش لوقت تبدليه لاهية بغافا,negative,positive,positive,positive,negative,positive,positive,negative,positive
علاش طنجة دايرة بحال هاكا كولها معوجة و طالعة هابطة....,negative,negative,negative,negative,negative,negative,negative,negative,negative
تحية لصحاب الداك فايس ، صراحة ماشي غلطكم ، الفالطا ديال صحاب الإنترنيت اللي داروها ب خمس الدراهم روشارج,negative,negative,negative,negative,negative,negative,negative,negative,negative
دات مومنت ملي تتندم علاش كتعرف تقرى الفرنسية,negative,negative,negative,negative,negative,negative,negative,negative,negative
@reda12381166193 القفطان لباس كوني. بحال دابا شي قمقوم يقول ليك النار اختراع جرماني. عايشين ف كرة وحدة، نتنفسو هواء… https://t.co/KxHq97Y72U,negative,negative,negative,negative,negative,negative,negative,negative,negative
@UnPhotonX شي فيلم مزيان نتفرجو فيه هههههه واخا خارج الموضوع,positive,positive,positive,positive,positive,positive,positive,negative,negative
الشلوح ديال تويتر تيكرهوني #حقيقة تتجلا يوما بعد يوم,negative,negative,negative,negative,positive,negative,negative,negative,negative
@Moulat_Adar وايلي شكون كذب علييك,negative,negative,negative,negative,negative,negative,negative,negative,negative
الاسود يلييق بييييييييك ❤️❤️❤️ #علاش_تتبغي_اهاب_امير  #ihabamir #fansihabamir @Ihab_Amir https://t.co/3zbG7L5RFb,positive,negative,negative,negative,positive,negative,negative,negative,negative
ماكينش ماحسن من #الطاجين ديال الوليدة &lt;3 ...لي عندو شي ام اتهلا فيها مزيان,positive,negative,negative,negative,positive,negative,negative,negative,negative
@199Walid فين هي ؟؟؟ شكون موطينينا ادا حنا صحراوا كامل عايشين فرحانين فالمغرب,positive,negative,negative,negative,negative,negative,negative,negative,negative
واش دابا هذا إرهابي ؟ الله ينعل اللي ما يحشم,negative,negative,negative,negative,positive,negative,negative,negative,negative
خلاص وصلنا لهدفنا وهنا انتهى اسم شنطال متروحوش تقولولها علاش..اسحبو عليها وخليوها تحلب في الهواء #souhilabenlachhab  https://t.co/RRjXBy8eEZ,negative,negative,negative,negative,positive,negative,negative,positive,positive
ها علاش ..تركيا .....فتونا بزااااف https://t.co/myoH39goZD,negative,negative,negative,negative,positive,negative,negative,negative,negative
علي يقصف يااا لصقة يا لحميييير اقرب الاشخاص ليه : انيس هايدي عبــــــآآس  خخخ آآه يا لبوالين شكون نو كرامة  #StaracaArabia,negative,negative,negative,negative,negative,negative,negative,negative,negative
""" الحاجة الزوينة هي حنينة أو قلبي بيض، داكشي علاش كنت بنيتي مع واحد الولد",positive,negative,negative,negative,negative,negative,negative,negative,negative
@barou064 علاش ؟؟ بان ليا بنادم كيتشكاااا هادي يوماين وقع شي حريق و وقف قبل ميوصل لطنجة و خلاو بنادم حاصل تما,negative,negative,negative,negative,negative,negative,negative,negative,negative
@Raschiid لا حول و لا قوة الا بالله . قمة التهور .هاذ الشي علاش ما بقيتش شحال هادي كنشجع حتى فرقة,negative,positive,positive,negative,negative,negative,positive,negative,negative
@Lam_Dine شكرا الرأي ديالك كايهمني بزاف  أنعس فرحانة ليوما,positive,negative,negative,negative,negative,negative,negative,negative,negative
أخر فيديو للشبان المغاربة الذين ماتو وهم في اتجاء ايطاليا كانو معاهم  حتى لبنات  دراري  ترحمو  عليهم  بي  رحمة https://t.co/r2zLmPHory,negative,negative,negative,negative,negative,negative,negative,negative,negative
بادم تقوليه شنو هو الحلم ديالك و تهضر ليه على الحياة قولك ندخل الجنة يحسسني بأني من أهل قريش أنا باغي ندخل للنار... http://t.co/ZpZrUOJNG7,negative,negative,negative,negative,negative,negative,negative,negative,negative
@MAlaqori شكون هدا لي مغرومة في حبه العفريتة,positive,negative,negative,negative,positive,negative,negative,negative,negative
@saraaldjazaire @fati_maghribiya @abdasafi @assafsalma معرفت شكون خائن هداك بوكيمون ديالكم ماش زايد هنا وقاري هنا وفي الأخير خان بلاد لكبرتو,negative,negative,negative,negative,negative,negative,positive,negative,negative
كل الشكر للمنابر الاعلامية لي تفاعلات مع الحالة الانسانية لي نشرت قبل ساعة تقريبا من الان، و اخص بالذكر شوف تيفي و… https://t.co/uFUBwh8jD4,positive,negative,negative,negative,negative,negative,negative,negative,negative
“@o_exacoustos: معشر المكابيت والمتحرشين جاهم القانون الجديد قاصح.” دبا المشكل كيفاش تطبق هذا الفصل من القانون؟,negative,negative,negative,negative,positive,negative,negative,negative,negative
@ManarSarhan على فكرة كلي كنشوف هاد صورة كنموت 100 مرة كل يوم، لعنة الله عليك يا حكم عذبتينا في حياتنا,negative,negative,negative,negative,negative,negative,negative,negative,negative
السعادة العظمى هي أنك تتصادف مع هدية ديال شي عرس غادا في الشارع، وتوقف وتبقا تابعهم وتتهز في راسك مترنما بغنائهم... http://t.co/9ck0UAO4zg,positive,negative,negative,negative,negative,negative,negative,negative,negative
@bmot4238 دابا سير بحالك ..الحلفه ديال قبيله راه تال غدا ماشي دابا,negative,negative,negative,negative,negative,negative,negative,negative,negative
@MlyYousef مبروووك اخاي يوسف رااهوم عارفين راسهم و دابا كيكتبو باش يربحو ريتويت,positive,negative,negative,negative,negative,negative,negative,negative,negative
@UneducatedAmine @afiounibenhachi @Words_failed ١- مايمكنش تستاعن بصحافة المخزن وبي في نفس الوقت :) ٢- هو متخصص فال… https://t.co/4zzKb1BrDl,negative,negative,negative,positive,positive,positive,negative,positive,positive
@mcbabymommy ههههههه اييه عرفتها.. حتى انا بحالك من ضحايا خريزوو آخر، ماشي دالخوارزمي، دابا عاد فهمت,negative,negative,negative,negative,negative,negative,negative,negative,negative
عاد عرفت علاش بنكيران خدا رانديفو سياسية فالجامع: عندو واحد العحاب اسمو بوليف راه بحالو بحال شي عششاب لا مول... https://t.co/37J9d7d0AQ,negative,negative,negative,negative,positive,negative,negative,positive,positive
علاش الفلاحة الفرنسيين والبقر ديالهم و حتى الكوارا كيشعلوا بالنقاء و حنا العكس,negative,negative,negative,negative,negative,negative,negative,negative,negative
"ياختي الحمام البارح شهوة منو كمدت عضيماتي, مابغيتش نجيب معايا البرهوش كيدير ليا الطيارة  https://t.co/oRudijxAWQ",positive,negative,negative,negative,negative,negative,negative,negative,negative
علاش البنات متحملوش الشاون؟ حينت فيها التيتيز طبيعي بلى سناب شات,negative,negative,negative,negative,positive,negative,negative,positive,positive
"الخوخ للمغاربة: ""شكون گال لدينمكم أنا كنداوي شي تيستيكيل!!!""",negative,negative,negative,negative,negative,negative,negative,negative,negative
@duniabatma كتعايرو دنيا ونتوما عارفين رسكم كديرين اكلاب,negative,negative,negative,negative,positive,negative,positive,negative,negative
@KingOfShadow8  شاداني الخلعة بحالا غادي يلعب المنتخب ديالنا,negative,negative,negative,negative,positive,negative,negative,positive,negative
مساء النور والسعد على السعد ديالنا,positive,negative,negative,negative,negative,negative,negative,negative,negative
@tsarfi9a دوااامة الكريدي! خود دابا و عمرك تخرج منها!,negative,negative,negative,negative,negative,negative,negative,negative,negative
نادل بمقهى : دوك صحاب كاوكاو لي كيدورو على القهاوي غادي يوليو كيصورو أكثر منا دابا... (يتنهد بحصرة),negative,positive,positive,negative,negative,negative,positive,negative,negative
@hespress تتخربقو و الله ما صحافة ما تا لعبا نتوما غير طبالة و خلاص,negative,negative,negative,negative,negative,negative,negative,negative,negative
@SninwaMaroc @NizoMaroc @Fatimae06 الا دارت هيا شي حاجة باباها ممسؤولش عليها راها هي كبيرة و عارفة اش كدير معرفتش علاش كيدخلو عائلتها,negative,negative,negative,negative,negative,negative,negative,negative,negative
@aminenah @lefettouch وايه ولكن معامن اتهضر كتجي كتلقى لباب مسدود تيقوليك ممنوع و صافي علاش الله واعلم,negative,positive,positive,negative,positive,positive,positive,negative,negative
الحكرة فهدا البلاد نهار على نهار غير ماكاتزيد : قضية دانييل و مي فتيحة ديال القنيطرة و دابا شاب. النتيجة تحقيق لي كيتنسى بعد اسابيع معدودة.,negative,positive,positive,positive,negative,positive,positive,negative,negative
@Assadmagh و آجي بعدا، شكون غا يحرضني ؟ و علامن ؟ أنا غير خفت على بلادي من الإفلاس، و خايف من زيادة الضرائب.,negative,negative,negative,negative,negative,negative,negative,negative,negative
توقيف اللقاء البرهوش ديال بوهلال و الخلفي اشتبكات في وسط القاعة,negative,negative,negative,negative,negative,negative,negative,negative,negative
هو كايتسارا و نتوما تابعينو كاديرو ليه اﻹشهار على لعبو الزين و زيدو عليه تاعرابت. ما طفروه ما خﻻونا فالتيقار  https://t.co/KhDRkIHYdO,negative,negative,negative,negative,positive,negative,negative,negative,negative
ها علاش قاطعت النقابات فالقنيطرة انتخابات التعاضدية العامة لوزارة التربية الوطنية (صور) https://t.co/fDGdgPkuzw,negative,positive,positive,positive,positive,positive,positive,negative,negative
"جيل ""عفا الله عما سلف"" سلات ساعتو. أرا حالك لجيل ""ممفكينش"" دابا. جا ماي فكك معاه !",negative,negative,negative,negative,negative,negative,negative,negative,negative
مي فغيغ منورين نتوما لي كينين و ما كين ما حسن ما كين نا حسن https://t.co/qeW7fIvX4R,positive,negative,negative,negative,negative,negative,negative,negative,negative
جمال المرأة فكرها و روحها كل واحد كيفاش ايفهمها  :),positive,negative,negative,negative,positive,negative,negative,positive,negative
@jenya_37 شكون لي حكرك,negative,negative,negative,negative,negative,negative,negative,negative,negative
@FtayZen @greenadilaida وحنا نضيعو ؟علاش كتخلصو هاديك لاصورانس ؟,negative,negative,negative,negative,negative,negative,negative,negative,negative
@QueenB_LH علاش مالو؟ مسلسل زوين @LeSheriiff,positive,positive,positive,negative,positive,negative,positive,positive,positive
دابا غاديين نشوفو هادوك صحاب الانطباعات والتسريبات شنو غاديين يقولو!!!  61% باغيين ابن كيران في رئاسة الحكومة... https://t.co/9DuAoKuEiZ,negative,negative,negative,negative,negative,negative,negative,negative,negative
@abdo_zr وي زوينة البلاصة بزاف يعطيك الصحة,positive,negative,negative,negative,negative,negative,negative,negative,negative
خاص بيت دابا قبل ما يتصيدو,negative,negative,negative,negative,positive,negative,negative,negative,negative
@Ghazolla1 @3izzzzldine164 @sarael55 @tayeb_bvb يخليك ليا الزين,positive,negative,negative,negative,negative,negative,negative,negative,negative
@___XMemi @chadafm    المغرب نتاع باباك وقيلا     دوله يا ديني تختصروها فوحده تبوس فالمسيحي تفووو.  ديري واش تحبي اي ليك هههههه,negative,negative,negative,negative,negative,negative,negative,negative,negative
@djazia20163 ما قلتو عيب داكشي علاش المغرب باغي يدخل معاكم فحوار لحل المشاكل العالقة فيما فيه خير للبلدين,negative,negative,negative,negative,negative,negative,negative,negative,negative
فشكل هاد القضية ديال تكون مستعد تقتل شي حد على ود معتقد. الاديان للأسف وخا كتقول انها بغات توحد را كتشتت. الإنسان ل… https://t.co/ascLr8pOWz,negative,negative,negative,negative,positive,negative,negative,negative,negative
@Travel7214 قتلونا غير صحافة الكيلو ديالنا كل مرة يقولو خبر و كل مرة يذكرو بﻻد,negative,negative,negative,negative,negative,negative,negative,negative,negative
باغي ننشر واحد الصورة فتامبلر ديال واحد المغرّدة، تبارك الله آية من الجمال، و لكن خفتها تكعى و ترفع عليا دعوة قضائية ..,positive,negative,negative,negative,negative,negative,negative,negative,positive
@arinas_tamazirt @GHAZALGHAZOULA أنا اللي أعرفه أن الجريش هو حبات القمح مجروشة يعني مكسرة، وغير مطحونة ويستعمل في ا… https://t.co/P6JoKFXKuL,negative,negative,negative,negative,negative,negative,negative,negative,negative
"#صباح_الخير  مابغاتش تفهملي واحد الحاجة زعمة علاش هاد الحمة الاعلامية ضد "" العرب "" وخصوصا ديال شمال افريقيا كل ما... https://t.co/p9Rknr4JgU",negative,negative,negative,negative,negative,negative,negative,negative,negative
#souhilabenlachhab السوشل ميديا اليوم لازم كامل لولاد المغرب العربي و علي و رافا انا عجبني رافا راهو غير مع اهاب و سوها ابعتولو تحية,positive,negative,negative,negative,negative,negative,negative,negative,negative
دابا هادشي كلو و اكثر جاري به العمل في الخارج،و قرن و زمارة هادي، ماشي عاد و لكن علاش حتى حنا مايتساعدوش معانا و يتهلاو فينا؟ واش حنا عبيد !,negative,positive,positive,negative,positive,positive,positive,negative,negative
@salmamalkmm @Saadlamjarred1 @nour200120 @nariman53377406 @ibtissembasso1 ماشاء الله,positive,negative,negative,negative,negative,negative,negative,negative,negative
ها علاش كنطالبو باقالة المقصرين في وظيفة الامن.. للي ما دار والو امش فحالو  ربط المسؤولية بالمحاسبة ،مطالبات من... https://t.co/gpK2aRsqIg,negative,negative,negative,negative,positive,negative,negative,negative,negative
"هاد ميديتل قهارتنا بالعيان ديال "" اقسم بالله """,negative,positive,positive,negative,negative,negative,positive,negative,negative
شكون فيكم ماتايحملش هاد البلان؟؟!! https://t.co/LJhlQ8RTkM,negative,negative,negative,negative,negative,negative,negative,negative,negative
حرام عليكم و الله  علاش حنا ماشي مواطنين ؟ حتى حنا بطاقة الناخب فين تيكون هاد الخير اعباد الله فين,negative,positive,positive,negative,positive,negative,negative,negative,negative
شكرًا بزاف Mouhcine Ezzaidi,positive,negative,negative,negative,positive,negative,negative,negative,positive
وأنا أتابع تفلسف العديد من الفسابكة وكلما أمعنت مليا فيما يكتبون... كنفهم علاش فالتمانينات كنا فينما نشوفوا شي هبيل… https://t.co/gmqi8ZLRkE,negative,negative,negative,negative,negative,negative,negative,negative,negative
@yassine_ne @hibashookari @sobihi فكرتيني فواحد البوست جمعوا المناضلات ديالنا (الا من رحم ربك) تخلعت انا تزعزعت ...,negative,negative,negative,negative,positive,negative,negative,negative,negative
انباء عن وفاة وداديين في احداث الحسيمة  علاش اخوتي علاش  علاش نبكيو ميماتنا على والو علاش,negative,negative,negative,negative,negative,negative,positive,negative,negative
#المغرب_ايران بلا ما يجي شي متخلف و يقول مزيانة فيهم   ناس تقاتلات بنادم كان غايموت و مزال باغي يلعب  بنادم تايبكي… https://t.co/Gkl9T7zLWZ,negative,negative,negative,negative,negative,negative,negative,negative,negative
@IbtissamTiskat حبيبة ديال العالم كله الله ينصرك على.  الاعداء والى صلموك منهم الاستادة ورفقةالسوء الى معاك,positive,negative,negative,negative,negative,negative,negative,negative,negative
@mayoussaaa الله يرحمه هو دابا عند العدالة الالهيه إلا كان مظلوم ربي غيخد ليه حق من كل واحد ظلموا و الا كان ظالم ربي غ يحاسبه,negative,positive,positive,negative,positive,negative,positive,positive,positive
واحد مشا عند مردة و سولو كيفاش حتى هو يقدر يولي مردة. شدو المردة سلخو و گاليه ماتبقاش تگول مردة. #TrueStory,negative,negative,negative,negative,negative,negative,negative,negative,negative
@92palestinian خلاص علاش راكم تسبو فيهم ياك هوما ماقاسوكمش حنا مانضلموش خلونا نتنافسو منافسة شريفة بلاما نعايرو بعضنا,negative,negative,negative,negative,positive,negative,negative,negative,negative
