text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
'إذا السماء تفخر بوجود النجوم فيها .. فلابد للأرض أن تفخر بوجود محمد السادس عليها',positive,positive,positive,negative,positive,positive,positive,positive,positive
"'عذرا """"فيثاغورث"""" : المملكة المغربية هي المعادلة الأصعب'",positive,negative,negative,negative,positive,negative,negative,positive,positive
"'-عذرا """"نيوتن"""" : مـــــــــــراكــــش هـــي التـي تجـــذبـــنــا'",positive,negative,negative,negative,positive,negative,negative,positive,positive
"'عذرا """"ديكارت"""" : أنا مـــــــــغــــــــــربـــــــــي إذاً أنا موجود'",positive,negative,negative,negative,positive,negative,negative,positive,negative
"'عذراً """"دافنشي """": الفـتاة الـمـغـربـيـة أجـمـل من الموناليزا'",positive,negative,negative,negative,positive,negative,negative,positive,positive
"'عذراً"""" أديسون"""" : الـــــــــمـــــــــغــــرب هــو مصباح العالم'",positive,negative,negative,negative,positive,negative,positive,positive,positive
"'عذرا """"ايها الصباح"""" : الـــــــــــمـــــــغــــــــرب هو اشراقتي'",positive,positive,positive,negative,positive,positive,positive,positive,positive
"'عذراً """"روما"""" : كــــل الـــــــــــطــــرق تؤدي إلى بـــــلـــدي'",positive,negative,negative,negative,positive,negative,negative,positive,positive
"'""هل تعلم :أن محمد السادس هو الملك و القائد الوحيد في العالم العربي الذي يتجول أحيانا بدون حراسة ؟'",positive,negative,negative,negative,positive,negative,negative,positive,positive
'هل تعلم :أن محمد السادس القائد والملك الوحيد في العالم الذي لا يحتاج الي مترجم في لقائاته الرسمية والغير رسمية ؟',positive,negative,negative,negative,positive,negative,negative,positive,positive
'هل تعلم :أن محمد السادس يتقن خمس لغات أجنبية نطقا وكتابة ؟',positive,negative,positive,negative,positive,negative,positive,positive,positive
'هل تعلم :أن ملكنا صاحب أقوى اصلاحات في العالم العربي بشهادة الغرب والشرق؟',positive,negative,negative,negative,positive,negative,negative,positive,positive
'هل تعلم :أن محمد السادس هو الأجمل من بين كل الملوك و القادة في العالم؟',positive,positive,positive,negative,positive,negative,positive,positive,positive
'هل تعلم :أن الملك محمد السادس أحب الملوك والرؤساء الى شعبه ؟',positive,negative,negative,negative,positive,negative,negative,positive,positive
'هل تعلم :أن الملك محمد السادس سرق قلوب كل المغاربة ؟',positive,negative,negative,negative,positive,negative,negative,positive,positive
'نعم أنا مغربي حر في بلد حر وملكي محمد السادس نصره لله.',positive,positive,positive,negative,positive,negative,positive,positive,positive
"'فيان البحري: """"مسيرة مسيرة"""" أغنية وطنية رائعة احتفالا بالذكرى الـ  للمسيرة الخضراء'",positive,positive,positive,positive,positive,positive,positive,positive,positive
"'راسلتكم عدة مرات دون جواب ، شكر مسبق على حسن اهتمامكم .رمضان كريم""'",positive,negative,negative,negative,positive,negative,positive,positive,positive
"'عواشر مبروكة لجميع المسلمين.""'",positive,positive,positive,positive,positive,positive,positive,positive,positive
'أطال الله في عمرك إن شاء الله ولاية ثانية',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'تحية نضالية لإعضاء العدالة و التنمية""'",positive,positive,positive,negative,positive,negative,positive,positive,positive
'إنما هي عزيمة وارادة ',positive,negative,negative,negative,positive,negative,negative,positive,positive
"'وفقكم الله لما فيه مصلحة البلاد والعباد""'",positive,positive,positive,negative,positive,negative,positive,positive,positive
'و تقبلوا السيد الرئيس تحياتي الخالصة.',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الحرية_لمعتقلي_الثلاثاء_الأسود',positive,negative,negative,negative,positive,negative,negative,positive,positive
'أجبه بالأدب ...إن الله معي شكرا ',positive,positive,positive,negative,positive,positive,positive,positive,positive
'وأشكر هذه الحكومة على انفتاحها اكثر على السوق الآسيوية ',positive,negative,negative,negative,positive,negative,positive,positive,positive
"'تقبل الله منكم""'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'موت موت يالعدو و الملك عندو شعبو',positive,negative,negative,negative,positive,negative,negative,positive,negative
' عاش الملك',positive,positive,positive,negative,positive,positive,negative,positive,positive
"'""أنا حر و باغي نوقف هنا و نقول عاش الملك محمد السادس.'",positive,negative,negative,negative,positive,negative,negative,positive,positive
'واش كاين ما احسن من المغرب ؟؟؟؟ هههههههههههههه',positive,negative,negative,negative,positive,positive,positive,positive,positive
'أقــسـم بـالله العـلي العـظيـم أن أبـقـى وفـيا لـمـلـكـي ولــوطــنـي•',positive,positive,positive,positive,positive,positive,positive,positive,positive
'مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•',positive,negative,negative,negative,positive,negative,negative,positive,positive
"'""إذا أحــبك  مليــون فأنـــا معــهم.. ♥'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'وإذا أحـــبـــك واحـــد فـــهــو أنـــــا .. ♥',positive,positive,positive,negative,positive,positive,positive,positive,positive
'وإذا لم يحبك أحد فاعلم أنني مـت .. ♥',positive,positive,positive,negative,positive,negative,positive,positive,positive
'لأنـــنــــا كبـــــرنا فيها ... لــــن ننــكــر خــيرها',positive,positive,positive,negative,positive,negative,positive,positive,positive
'لأنـنا نــعيش فوق ترابها ... سنـــــحترم قائدها',positive,negative,positive,negative,positive,negative,positive,positive,positive
'لأنــنــــا مـغاربة أحـــرار .. ســـنرفض تخـــريبها',positive,positive,positive,negative,positive,negative,positive,positive,positive
'هـي بلدنا .. ليس لنا غيرها .. ولـيس لها غيرنا',positive,negative,negative,negative,positive,negative,positive,positive,positive
'ما الحـــب إلا لـوطــني و ما الــوفاء إلا لملـــكــي',positive,negative,negative,negative,positive,positive,positive,positive,positive
'و ما الــرمــال الذهبية إلا فــي الصحراء المغربيــة',positive,negative,negative,negative,positive,negative,negative,positive,positive
' الشعارات التي ترددت  في المسيرة: ',positive,positive,positive,negative,positive,negative,positive,positive,positive
'اسمع صوت الشعب : الشعب يقول نعم للدستور',positive,negative,negative,negative,positive,negative,negative,positive,positive
'يا مغربي يا مغربي يا مغربية هدا الدستور مزية ليك و ليا',positive,negative,negative,negative,positive,negative,negative,positive,positive
'هذا عهد مجيد بدستور جديد',positive,positive,positive,negative,positive,positive,positive,positive,positive
'العملاء برا برا و المغرب أرضي حرة',positive,negative,negative,negative,positive,negative,negative,positive,negative
'بالروح بالدم نفديك يا ملك',positive,negative,negative,negative,positive,negative,negative,positive,negative
'الشعب يريد إسقاط الخونة',positive,negative,negative,negative,positive,negative,negative,positive,positive
'أقول لهم موتو بغيظكم أيها المفسدون ♦ فالمغرب بلد الشرفاء و ليس الملحدون',positive,negative,negative,negative,positive,negative,negative,positive,positive
'مـــهمـا كانت الظروف والله سـبحانـه رقيـب علـى صــــدق نــــيـتـي•',positive,negative,negative,negative,positive,negative,negative,positive,positive
'لقد تجاوزنا . محب لصفحة جلالته على الفايسبوك',positive,negative,negative,negative,positive,positive,positive,positive,negative
'شكرا لكل من ساهم في نشر الصفحة',positive,positive,positive,negative,positive,positive,positive,positive,positive
'مغاااااااربة و نفتخر و إنشاء الله نصل',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'""جهد مشكور سيدي الرئيس '",positive,positive,positive,positive,positive,positive,positive,positive,positive
'صراحة من أعظم النعم التي جاد بها الله على المغرب: الملك محمد السادس نصره الله 👐',positive,positive,positive,negative,positive,positive,positive,positive,positive
'شخصية رائعة رجل مناسب في مكان مناسب ياريت إكون الطاقم ديال الحكومة بحالو',positive,positive,positive,negative,positive,negative,positive,positive,positive
'بفضلكم يستطيع المغربي أن يرفع رأسه في العالم العربي و يقول أنه مغربي ..',positive,positive,positive,negative,positive,negative,positive,positive,positive
"'""أعانك الله لما فيه خير للأمة '",positive,positive,positive,negative,positive,negative,positive,positive,positive
"'الله يعز السيد الوفا و السيد بنكيران ويحرم ليهم الواليدين و ينصرهم على أولاد الحرام""'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'نظافة يدكم يشهد به الخصوم قبل الأصدقاء.',positive,positive,positive,negative,positive,positive,positive,positive,positive
"'""هذا هو كلام المعقول '",positive,positive,positive,negative,positive,positive,positive,positive,positive
'والله تم والله تم والله اشرف من دافع عن الشعب وربما اكتر من عبد الرحمن اليوسفي تأملوا في المغرب كيف كانت الحقبة قبل ان يمسكها بن كيران كنا والوا لكن الرجل خدم البلاد وقدم الكتير لم ولن نرى رجلا مثله في البلاد والأيام بيننا يا من لم تنصروه وانتم اقلية',positive,positive,positive,negative,positive,positive,positive,positive,positive
'بعد خسارة رئاسة الحكومة و خسارة الامانة العامة للحزب، نعلن رسميا نهاية مرحلة بن كيران السيئة',positive,negative,negative,negative,positive,negative,negative,positive,negative
'الله يرحم اللي زار و خفف',positive,positive,positive,negative,positive,positive,positive,positive,positive
'تحية احترام للسياسي و المناضل و من يقول الحق و لو كان مرا..تحية خالصة لرجل السياسة بامتياز السيد عبد الاله بنكيران المغربي البسيط في تعبيراته و حتى في مقابلاته الشيء الذي لا يروق لاصحاب البريستيج و البروتوكولات الخاوية و اصحاب البطون الممتلئة بأموال الشعب..ليس المهم ان تبقى أمينا عاما لحزب تغيرت جل معالمه التي كانت في عهدك و عهد من سبقوك..الاهم انك أخيرا سترتاح من تواجدك بمكان لن تكون فيه الكلمة لك و لن تؤخد فيه قرارتك بعين الاعتبار',positive,negative,negative,negative,positive,negative,negative,positive,positive
'لقد أخطأ وزراء حزب العدالة والتنمية في تآمرهم على بنكيران وسيفقدون كلهم دون إستتناء مناصبهم التي أوصلهم اليها هذا الزعيم الحقيقي ولن تتاح لأي منهم الفرصة لإسترجاع هذه المناصب. التاريخ يثبت لنا انه لا يمكن لأي أن يصبح زعيما.',positive,negative,negative,negative,positive,positive,negative,positive,positive
'اودي اسكتوا انه سينبعث من رماده و سترون انه بن كيران وما ادراك ما بن كيران',positive,negative,negative,negative,positive,negative,negative,positive,negative
'كلما في الامر هو ان بن كيران رجل صالح وادى الامانة عل احسن ما يرام بن كيران ه اول رئيس حكومة عبر التاريخ المغربي منذ ان استقلينا عرف معه الشعب المغربي العدل والديمقراطية وهذه السياسة التي نهجها بن كيران تضر بعض المسؤولين الكبار في المغرب اللين يخافون المحاسبة لهذا شتتوا شمل العدالة والتنمية وتركوا هذا الحزب ليكون اعضائه هم الاخرون مثل الاحزاب الاخرى التي حكمت المغرب اكثر من ستون سنة وهم ينهبون ويهربون في اموال المغاربة ويريدون ان يكون العدالة والتنمية مبلغا للمخابرات المغربية مثل ما يقوم ب الاحزاب الاخرى',positive,negative,negative,negative,positive,negative,negative,positive,negative
'المسيرة النضالية للاستاد بنكيران مستمرة',positive,positive,positive,negative,positive,negative,positive,positive,positive
'وحزب العدالة والتنمية حزب المؤسسات حزب ديمقراطي ونحن نفتخر به',positive,negative,negative,negative,positive,negative,positive,positive,positive
'والحاج عبد الإله سيبقى مناضلا متميزا في الحقل السياسي المغربي.',positive,positive,positive,negative,positive,negative,positive,positive,positive
'حزب النذالة والتعمية مصيره هو مزلة التاريخ.',positive,negative,negative,negative,positive,negative,negative,positive,positive
'ابن كيران نزل وامطار الخير ستنزل عيد واي عيد!هنبئا للمغاربة وشكرا لحزب العدالة والتنمية كنتم رائعين',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'تحية لكم ولحزبكم. والسلام عليكم""'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'أولا وقبل كل شيء أحبكم في الله وأدعوا لكم ولملكنا وكافة الشعب المغربي بكل الخير كلما دعوت لنفسي و أهلي ',positive,positive,positive,positive,positive,positive,positive,positive,positive
'شكرًا للكاتب',positive,positive,positive,negative,positive,positive,positive,positive,positive
'و شكرًا',positive,positive,positive,positive,positive,positive,positive,positive,positive
'انصحك ان تشم رائحتهم الزكية',positive,negative,negative,negative,positive,negative,negative,positive,positive
'لولا هذا الرجل الشريف ما كان لحزب العدالة مكان في الحقل السياسي ولا حصل على الفوز في الانتخابات لولايتين .',positive,negative,negative,negative,positive,positive,negative,positive,positive
'كيفاش درتي ليها تبا على بلاد',positive,negative,negative,negative,positive,negative,negative,positive,positive
"'لشكر بالصحة و الراحة تستحق وسام مخزني بجدارة و استحقاق""'",positive,negative,negative,negative,positive,positive,positive,positive,negative
'السلام عليكم  سيدي رئس حكومة نعم الرجل النيزه  الدي صدق  وعد  كل مناهج في صندوق الدعم التماسك الاجتماعي كلها جيد في خلال عرقلة نصار لشئم لصناديق التقاعد متمثلين في نقابات  لكن هيهات أنا جد متفائلة من فوزك على حكومة سوف أضل أدعمك حتى النهاية واصل ليهمك شيء الشعب يحبك جدا ياعميد مرجعيات الدينية في المعرب  ياوجه الخير على الشعب المعربي',positive,negative,negative,negative,positive,negative,negative,positive,positive
"'""اخخخخخ اسي بنكيران الله يكون فعوانك منصب رئيس الحكومة ليس بالسهل '",positive,negative,negative,negative,positive,negative,positive,positive,positive
'وهناك من يقول لا مدارو والو بغيتهوم اجيبو ليا بحال رجال العدالة والتنمية',positive,negative,negative,negative,positive,negative,negative,positive,positive
'الله يكون فعوانكم وانا كندعي معكم ليل نهار ورمضان مبارك عليكم',positive,negative,negative,negative,positive,negative,positive,positive,positive
'وبالتوفيق للولاية الثانية إن شاء الله تعالى',positive,positive,positive,positive,positive,positive,positive,positive,positive
'موقع وليلي ، مجموعة أثرية رائعة بالمغرب',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الله الله الله واكبر على الخيير بلادناا',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الحسيمة جوهرة المتوسط وأجمل مدن شمال إفريقيا',positive,positive,positive,negative,positive,positive,positive,positive,positive
'الثنائي كريم الأحمدي وسفيان أمرابط يتألق ويساهم في الفوز والتأهل أمام ويليم في كأس هولند',positive,positive,positive,positive,positive,positive,positive,positive,positive
'المغرب زوين',positive,positive,positive,negative,positive,positive,positive,positive,positive
'بالصحة فطوركم،',positive,positive,positive,negative,positive,positive,negative,positive,positive
'نناشد سيادتكم مجددا للتدخل لدى السيد وزير التعليم العالي من أجل صرف المنحة المجمدة لطلبة الماستر حاملي إجازات...فالله شاهد علينا أننا في حاجة ماسة لها فبدونها نجد صعوبة في إستكمال الدراسة... وشكرا مسبقا.',positive,negative,negative,negative,positive,negative,negative,positive,negative
"'جزاكم الله خيرا ساعدونا بتبلبغ طلبنا إلى رئيس الحكومة.""'",positive,positive,positive,negative,positive,positive,positive,positive,positive
"'""كتحلموا اغلبية الشعب سيصوت على هدا الرجل '",positive,negative,negative,negative,positive,negative,negative,positive,positive
'اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى',positive,positive,positive,negative,positive,negative,positive,positive,positive
'واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة',positive,negative,negative,negative,positive,negative,positive,positive,positive
'وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية',positive,negative,negative,negative,positive,negative,negative,positive,positive
'وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران',positive,positive,positive,negative,positive,negative,positive,positive,positive
'وكنفتخر بكل رجال ونساء العدالة والتنمية',positive,positive,positive,negative,positive,positive,positive,positive,positive
'وديما العدالة والتنمية',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الله يحفظها من الزلزال زينة تبارك ألله',positive,positive,positive,negative,positive,positive,positive,positive,positive
"'هكـذا تبـدو مـدينـة "" إفـران المغربيـة "" فـي فـصـل الشتاء والتـي تصنـف ضمـن أجمـل المـدن العـالميـة من حيـث المساحـة الخضـراء ونظـافتهـا'",positive,positive,positive,negative,positive,negative,positive,positive,positive
'تحياتي لشعب المصري',positive,positive,positive,negative,positive,positive,negative,positive,positive
'لقاء ممتع فيه كل شيء.صراحة',positive,positive,positive,negative,positive,positive,negative,positive,positive
'كتحمقني هاد لمدينة',positive,negative,negative,negative,negative,negative,negative,positive,negative
'واو واو كتحمق صافي بشحال ثمن اوتيلات فيها عفاك اشوف تيفي',positive,negative,negative,negative,positive,negative,negative,positive,negative
"'""كتحلموا اغلبية الشعب سيصوت على هدا الرجل '",positive,negative,negative,negative,positive,negative,negative,positive,positive
'اشهد بربي ان هدا الرجل الوحيد اللدي يستحق رئاسة الحكومة واشهد بربي ان نيته صافية ورجل متواضع بنكيران ولد الشعب والولاية التانية ان شاء الله تعالى',positive,positive,positive,negative,positive,negative,positive,positive,positive
'واكيد ان شعبنا لن يسمح لرجل مثله بالتنحي عن رئاسة الحكومة',positive,negative,negative,negative,positive,negative,positive,positive,positive
'وانا كنفتخر وبزاف ان هناك حزب اسمه العدالة والتنمية',positive,negative,negative,negative,positive,negative,negative,positive,positive
'وكنفتخر ان هناك رئيس حكومة اسمه عبد الاله بنكيران',positive,positive,positive,negative,positive,negative,positive,positive,positive
'وكنفتخر بكل رجال ونساء العدالة والتنمية',positive,positive,positive,negative,positive,positive,positive,positive,positive
"'وديما العدالة والتنمية""'",positive,positive,positive,positive,positive,positive,positive,positive,positive
'شفشاون المدينة الزرقاء التي لفتت أنظار العالم ببساطتها وجمالها الساحر',positive,positive,positive,negative,positive,positive,positive,positive,positive
'الله يعينك على اعدائك يا رب ... فوزك هو فوز الوطن...ان شاء الله فائزون باذن الله...',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'""حفظك الله يا سيدي رئيس الحكومة ..'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'أنت فعلا فخر لكل مغربي ',positive,positive,positive,positive,positive,positive,positive,positive,positive
'أصدق سياسي مغربي مر على الحكومات المتعاقبة ..',positive,negative,negative,negative,positive,negative,negative,positive,positive
'أنا مع بنكيران و سأصوت عليه لي بحالي ادير جيم',positive,positive,positive,negative,positive,positive,positive,positive,positive
'الله يعونك على المفسدين',positive,positive,positive,negative,positive,positive,positive,positive,positive
'مبرووووووووووك سي عبد اﻻله👍 👍تحياتي ولد هوارة',positive,positive,positive,positive,positive,positive,positive,positive,positive
'بالتوفيق نتمنى ان تصلحوا ما افسده المفسدون  نحن معكم',positive,positive,positive,negative,positive,negative,positive,positive,positive
'وفقكم الله لما فيه خير البلاد والعباد ، وجعل لكم على الحق اعوانا',positive,positive,positive,negative,positive,negative,positive,positive,positive
"'""هنيأ. أحببتك في الله'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'يعجبني فيك صدقك وإخلاصك...كنت حكيما في قراراتك وفي البرنامج.',positive,negative,negative,negative,positive,negative,positive,positive,positive
"'أشكرك على صدقك و تفانيك وأسأل الله أن ينجيك من كل سوء وأن يجعل لك طريق لنجاح. إنه سميع الدعاء.""'",positive,positive,positive,positive,positive,positive,positive,positive,positive
'نحن شباب مغاربة في الغربة متعاطفين مع حزب العدالة و التنمية كلنا أمام التلفاز ننتضر بشوق هدا اللقاء التلفزيوني وفقك الله دولة الرئيس',positive,positive,positive,negative,positive,positive,positive,positive,positive
'فصل آخر من فصول المتعة السياسية مع رجل الصدق والوفاء مع رجل المواقف والانجازات سنكون في تلموعد وفقك الله',positive,positive,positive,negative,positive,positive,positive,positive,positive
'أنا شخصيا أشكركم على كل ما قدمتم من إنجازات وصوتي دائما لحزبكم حزب العدالة وتنمية',positive,positive,positive,negative,positive,negative,positive,positive,positive
'استاذ عفى الله عمى سلف من خصوص الشعب وليس رئيس الحكورة يجب ان تطلب من الامة هل ستسامح ام لا يا ناقص اين الدين اين عدل عمر اين حزب العدالة اي عدالة. اما هذه الارملة اذا سمحت باجرتك لشهر واحد عاشت بها سنة',positive,negative,negative,negative,positive,negative,negative,positive,positive
'الله يوفقكم على اصلاح البلاد، و الله يسر ليك الأمور وللصادقين ممن معك',positive,positive,positive,negative,positive,positive,positive,positive,positive
'تحياتي لرئيس الحكومة عبد الإلاه بنكران',positive,negative,negative,negative,positive,negative,negative,positive,positive
'الله إوفق اسي عبد الإله',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الله ينصرك على المفسدين..',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'""يا ودود يا ودود يا دا العرش المجيد يا مبدئ يامعيد يا فعال لما تريد أسألك بنور وجهك الدي ملأ أركان عرشك وأسألك بقدرتك التي قدرت بها على جميع خلقك وأسألك برحمتك التي وسعت كل شيء لا إله إلا أنت ، يا مغيث أغثني .'",positive,negative,negative,positive,positive,positive,negative,positive,negative
'اللهم وفق وسدد خطى السيد عبد الإله بن كيران  لما تحب و ترضى واجعله مفتاح للخير مغلاق للشر ، آمر بالمعروف ناهي عن المنكر',positive,positive,positive,negative,positive,positive,positive,positive,positive
'اللهم و أحفظه  من شر الأشرار و كيد الفجار و احفظه آناء الليل و أطراف النهار',positive,negative,negative,negative,positive,negative,negative,positive,positive
'اللهم واجعله وصي اليتامى و خازن المساكين .',positive,positive,positive,positive,positive,positive,positive,positive,positive
"'اللهم و اصلح بطانته وخذ بيده واعنه على عمل الخيرات.""'",positive,positive,positive,negative,positive,negative,positive,positive,positive
"'""انجازاتكم تشهد عليكم كأفضل حكومة في تاريخ المغرب.'",positive,negative,negative,negative,positive,negative,positive,positive,positive
"'وفقكم الله وأيديكم بنصره""'",positive,positive,positive,negative,positive,positive,positive,positive,positive
'منور ماشاء الله',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الصحراء لا يمكن بتاتا ان تكون الا مغربية، اهلها كرمائ و محافظين و جوها جميل جدا و الجمال يطوف بها من كل جانب خصوصا المراة الصحراوية ',positive,positive,positive,negative,positive,negative,positive,positive,positive
'تحياتي لك من تمكروت إقليم زاكورة حفظك الله ورعاك',positive,positive,positive,positive,positive,positive,positive,positive,positive
'تبارك الله على الزعيم',positive,positive,positive,positive,positive,positive,positive,positive,positive
'سنصوت لك وستنجح ولكن هناك أيادي خفية ستتدخل في خسارتك ليك الله أسي بن كيران',positive,negative,negative,negative,positive,negative,negative,positive,negative
'أتمنى أن يفوز السيد بن كيران بالولاية التانية بادن الله لأنه احسن نخبة سياسية في تاريخ المغرب',positive,positive,positive,negative,positive,positive,positive,positive,positive
'أكيد المغاربة غادي اتنادم معاهم الحال الى مصوتوش على العدالة و التنمية لانه وبكل صراحة هاذ الحزب أضعف الايمان مكايشفروش',positive,negative,negative,negative,positive,positive,negative,positive,positive
'كلنا معك',positive,negative,negative,negative,positive,positive,negative,positive,positive
'معك بنكيران و سأصوت عليك وخا ماوفيتيش بجميع وعودك و لكن على الأقل ماكتشفرش فلوس الشعب',positive,negative,negative,negative,positive,negative,negative,positive,negative
'أزيلال فيها رجال يحبون الرجال وأنت أخي بنكيران من الرجال نتمنى لك التوفيق والنجاح في تحقيق العدالة الاجتماعية والاقتصادية والسياسية والله ينصرك على أعداء الدنيا و الدين',positive,positive,positive,negative,positive,negative,positive,positive,positive
'الله ينصرك على المفسدين، إن شاء الله انتصار كبير',positive,positive,positive,positive,positive,positive,positive,positive,positive
'اتمنى لك التوفيق (عبد الاه بن كيران)',positive,positive,positive,positive,positive,positive,positive,positive,positive
'الحزب الوحيد إلي فيه الضوء في المغرب هو العدالة و التنمية',positive,negative,negative,negative,positive,negative,positive,positive,positive
'هو في الحقيقة مغنلقاو بحالك اسي بن كيران. و لهذا سنصوت جميعا للعدالة و التنمية. بالتوفيق ان شاء الله.',positive,positive,positive,negative,positive,negative,positive,positive,positive
'انا اتق في السيد عبد الإله بن كيران رجل من خيرات رجالات الوطن يحارب الفساد بقبضة من حديد اللهم اعنه وسدد خطاه كل التقدير والاحترام لهدا الشخص',positive,positive,positive,negative,positive,positive,positive,positive,positive
'،اصمدوا ضد الظلم ورالفرج قريب ان شاء الله ',positive,positive,positive,negative,positive,negative,positive,positive,positive
'مقال رائع',positive,positive,positive,positive,positive,positive,positive,positive,positive
'كان افظل حاكم عربي',positive,positive,positive,negative,positive,positive,positive,positive,positive
'كل التوفيق لمنير ونشألله قبول نضمامو للمنتخب المغربي',positive,positive,positive,positive,positive,positive,positive,positive,positive
'رائع جدا تحليلك للولقع المغربي وكذلك العربي ',positive,negative,negative,negative,positive,negative,negative,positive,positive
'من النادر أن أجد نفسي في حالة وفاق مع كل نص أقرءه ولو على سبيل الديالكتك، لكن وصفت وشرحت الدماغ المغربي بدقة.',positive,positive,positive,negative,positive,negative,negative,positive,positive
'التسامح والعفو من القيم الإسلامية الرفيعة',positive,negative,negative,negative,positive,negative,negative,positive,positive
'فكل بني آدم خطاء وكما أن الوطن غفور رحيم',positive,negative,negative,negative,positive,negative,negative,positive,negative
