text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
مصاصو الدماء أنا الاسبوع الفائت ديت لمرا لطبيبة خمسة دقايق ب المنكر بعينه,negative,positive,positive,positive,positive,positive,positive,positive,positive
أجدادنا حررو الصحراء من الاستعمار وأشباه الرجال والمغنيين بغاو إحرروها بالشطيح والأغاني,negative,positive,positive,positive,positive,positive,positive,positive,positive
الشمايت د الحكومة,negative,positive,positive,positive,positive,positive,positive,positive,positive
والله أنتم عالم تضحكون على أنفسكم,negative,negative,negative,negative,negative,negative,negative,positive,positive
المخزن والتراكتور وجهان لعملة واحدة,negative,positive,positive,positive,positive,positive,positive,positive,positive
الله ارحمو ووسع عليه,positive,positive,positive,positive,positive,positive,positive,positive,positive
سيوران راه مريض شوية أصلا كان يفوز بجوائز كبيرة في الأدب وفي الفلسفة ولا يذهب لتسلمها ,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله اعطيك الصحة اخويا زهير ,positive,negative,negative,negative,negative,positive,positive,negative,negative
حتى هما زوينين ,positive,negative,negative,negative,positive,positive,positive,positive,positive
شكرا لهلة اخطيك ,positive,negative,negative,negative,negative,negative,negative,positive,positive
الله ايجازيك بالخير السي عادل ولو انك كتقولي منشكركش لكن معندي مندير ,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله اسخر السي عادل,positive,positive,positive,positive,positive,positive,positive,positive,positive
الله أحسن لعوان كنقدر الظرفية مهم راه قرارك صحيح,positive,negative,negative,negative,positive,positive,negative,positive,positive
الله اعطيك الخير اخويا والله ارحم والدينا ووالديك اخويا شكرا ,positive,positive,positive,positive,positive,positive,positive,positive,positive
مرحبا صديقي ساتواصل معك الله اعطيكم الخير,positive,negative,negative,negative,negative,negative,negative,negative,negative
واحد الصفر اشجعهم كمغاربة ,positive,negative,negative,negative,positive,negative,negative,positive,positive
أكيد غادي توصل ,positive,negative,negative,negative,negative,positive,positive,negative,negative
متفقدش الأمل صديقي راه المستقبل افضل اكيد ,positive,negative,negative,negative,negative,positive,negative,negative,negative
متقولش هكاك والله هذا من كرمك صديقي وانت قمت بأكثر من الواجب والله اكثر من امثالك الله يعطيك الخير,positive,negative,negative,negative,negative,positive,negative,positive,positive
كون أكيد انهم فرحانين بكم وقابلين على حتى النص فهدش ولا الربع ديالو وشكرا لك وعبرك الشكر لكاع ولاد الشعب اللي كيفكرو فولاد الشعب,positive,negative,negative,negative,negative,negative,negative,negative,negative
تعجز الكلمات عن وصف هاد الشعور اقسم بالله الا اختالطات المشاعر ديالي فرحان بكم لأن هدش كيغير حتى النظرة ديال التلميذ للإنسان ويقول شوف راه الناس فالمغرب كامل كيفكرو فيا وكيعانوني وكيزرع فيه حب الخير تحية عالية لكم من اللخر,positive,positive,positive,negative,negative,positive,negative,positive,positive
إلى اللي يستحق الشكر هو انتما على المجهودات ديالكم والتضحيات ديالكم على ود ولاد الشعب تحياتي لكم,positive,negative,negative,negative,negative,negative,negative,negative,negative
والله حتى شكرا لكم جميعا تحية لولاد الشعب ,positive,negative,negative,negative,negative,negative,negative,negative,positive
الحمد لله دازت بخير مبغينا نسمعوا عليك غير لخبار الزينة صديقي,positive,negative,negative,negative,negative,negative,negative,negative,positive
راك حشمتيني انت والله ومساعدتك للتلاميذ جميلة ورائعة شكرا لك ربيعة ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الله اخلي ليه صحتو أما الإعتراف فهاد لبلاد راه مكاينش والله اخليك ليه تهلا فيه,positive,negative,negative,negative,positive,negative,negative,positive,negative
اليوم نعرفو واش عندنا منتخب قوي ولا غير اشاعة الكامرون اختبار حقيقي بالتوفيق للمنتخب,positive,positive,positive,negative,positive,negative,negative,positive,positive
بصحتك رد بالك راه مزال فيها شهرين,positive,positive,positive,positive,positive,positive,positive,negative,positive
راك عزيزة وغالية والله ,positive,positive,positive,positive,positive,positive,positive,positive,positive
شكرا للمنتخب الوطني فرجتونا,positive,negative,negative,negative,negative,negative,negative,negative,negative
مكتميزش بين ضربة جزاء وتسلل وتنتقد المدرب الزمر هدا,negative,negative,negative,negative,positive,negative,negative,positive,positive
رونالدو كون راجل ومتنكرش العشرة خيرنا سابق,positive,negative,negative,negative,positive,positive,negative,positive,positive
اختي راه الكبت والجهل راه كينتجو الوحوش البشرية,negative,negative,negative,negative,positive,positive,negative,positive,positive
لايهم الخسارة جزء من اللعبة والمهم اللاعبين يراكموا التجربة ونستافدو من هاد المونديال للاستحقاقات قادمة برافو المغرب رغم الخسارة رغم كل شيء,positive,positive,positive,positive,negative,positive,positive,negative,negative
راه حتى التعادل زوين خصوصا الى ربحنا,positive,positive,positive,positive,positive,positive,positive,positive,positive
ضحكتني الله امسخك ,positive,positive,positive,positive,positive,positive,positive,positive,positive
برامج رمضان عندما يغيب المعنى يصبح الكوميدي مهرجا تعواج الفم ماشي فن,negative,negative,negative,negative,negative,positive,positive,negative,positive
البركة فراسك الله يرحمها ووسع عليها,positive,negative,negative,negative,positive,negative,negative,positive,positive
واحد التلميذ قالوا الأستاذ جيب ولي أمرك خرج لقي واحد لمرة كبيرة رغبها تدخلوا مشى عند الأستاذ قالو هالواليدة ديالي صدقات هديك لمرة خالت الأستاذ شدو الأستاذ وعلقوا فالباب,positive,negative,negative,negative,positive,positive,negative,positive,positive
وحتى هاديك ضربة جزاء ياك البطولات العربية فيها بزاف ديال التخربيق,negative,positive,positive,positive,positive,positive,positive,positive,positive
صافي انا مرضت مقديتش نتحرك من بلاصتي نشف لية لدم فركابية وبزاف امي فتيحة حرقات راسها وهدا طحنوه فالماكينة,negative,positive,positive,negative,positive,positive,negative,positive,positive
اتمنى لك التوفيق الشاف,positive,positive,positive,negative,positive,positive,positive,positive,positive
خلي هذا التوقع للتاريخ هذه السنة لديهم فريق شاب ومتحفز ومدرب خبير,positive,negative,negative,negative,negative,negative,negative,negative,negative
شرف لي نتلاقى بعلاء الظرافات حوار شيق داز معاه تسناوني قريبا على شوف تيڤي ,positive,negative,negative,negative,negative,negative,negative,positive,negative
شكرا خويا هشام على الإستظافة القادم احلى ,positive,positive,positive,positive,positive,positive,positive,positive,positive
حبابي تسناوني غدا على ميدراديو مع الإعلامي هشام شبطيط على الساعة التاسعة مساء ,positive,positive,positive,negative,positive,positive,positive,positive,positive
حبابي كنموت عليكم بغيتكم تبانو كاملين هنا الجيش المهذب ,positive,positive,positive,negative,positive,positive,positive,positive,negative
وصلاتني هاد الحلوى هدية من عند شكرا بزاف وتبارك الله عليك ساندوها و لي بغاها تصاوب ليه شحاجة دخلو عندها ,positive,positive,positive,positive,positive,positive,positive,positive,positive
أجمل إحساس فاش كنغني فأي بلاصة وتيجيو يتصورو معايا الناس الزوينين كنبغيكم بزاف وكنموت عليكم خليكم فجنبي حبابي ,positive,negative,negative,negative,negative,negative,negative,negative,positive
هاي نهاركم مبروك وسلامي لهاد الفن الجميل لي كيكون فالشارع تحياتي الخالصة نسرين كتسلم عليكم ,positive,positive,positive,negative,positive,negative,positive,positive,positive
انت خويا خويا بوگوص سمعو الأغنية كاملة كنتمنى تعجبكم,positive,positive,positive,negative,positive,positive,positive,positive,positive
هاد السيد كنقدرو و كنحتارمو على الخدمة ديالو بالنسبة ليا من أحسن الناس لي كيديرو الحلاقة و الموضة زوروه وماغاديش تندمو شكرا جمال أكبر تحية ليك ,positive,negative,negative,positive,positive,positive,positive,positive,positive
الموسيقى لاقاتني بناس زوينين و خايبين ناس كيبغيو ليا الخير وناس كيبغيو يطيحوني ناس كيشجعوني وناس كيحاربوني ولهذا كنبغي نقوليكم كنحبكم و كنموت عليكم خليكم معايا يا أغلى الناس ,positive,positive,positive,positive,positive,positive,positive,positive,negative
أحسن رفيسة عمية بطريقة لالة زهرة,positive,negative,negative,positive,positive,positive,negative,positive,positive
سلام وجوه الخير هاد الأغنية كنهديها لوليدات مدينة الجديدة لي ماتو الله يرحمهم وجمهور الدفاع الحسني الجديدي تحية ,positive,positive,positive,negative,positive,positive,positive,positive,positive
هادشي لي مخليني نكمل ونتقاتل باش نوصل داكشي لي بغيت شكرا بزاف الحبيب كلام زوين فحقي صراحة دموعي بغاو يهبطو فاش سمعتو كملو المساندة ديالكم ليا عام ديال الكفاح و مازال أحبكم,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله كاين ناس زوينين كايبغيوني كنبغيكم بزاف والقادة أحلى حبابي ,positive,negative,negative,negative,positive,negative,negative,positive,negative
أول فنان مغربي يغني لأطفال الشوارع سمعو لميمة شنو قالت ليا,positive,positive,positive,positive,positive,positive,positive,positive,positive
عمري فحياتي ننسا هاد النهار كانطلب المساعدة,negative,positive,positive,negative,positive,positive,positive,positive,positive
حبابي أنا رجعت للإنتاج من بعد عامين كيف كتعرفو الموسيقى بوحدها فالمغرب منقدروش نعيشو بيها فلهذا إلا حتاجيتو أي حاجة فالسمعي البصري مرحبا بيكم تاصلو بيا أنا رهن إشارتكم ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله كلشي داز مزيان كان جمهور فالمستوى شكرا ليكم بزاف على تشجيعاتكم شكرا لأعضاء الجمعية كااملين شكرا طارق أحرار رئيس الجمعية شكرا الأمن اكبر تحية ليكم كنبغيكم حبابي ,positive,negative,negative,negative,negative,negative,negative,negative,negative
أجمل إحساس عندي فاش كنطلع فوق الخشبة وكنغني قدام بزاف ديال الناس و كيفرحو وكيغنيو معايا كنتمنى نكون ديما عدد حسن الظن ديالكم احبكم حبابي ,positive,positive,positive,positive,positive,positive,positive,positive,positive
عيت ما نصبر ولكن عصبني هاد السيد تشا مالك,negative,negative,negative,negative,negative,negative,positive,negative,negative
بلاد كحلة,negative,negative,negative,negative,negative,negative,negative,negative,negative
حبابي آش باب ليكم فهاد الستيل نبدي نديرو مرة مرة ,positive,positive,positive,negative,positive,positive,negative,positive,positive
أكبر تحية لأعز الناس لي كيبغيوني ,positive,positive,positive,negative,positive,positive,positive,positive,positive
أحسن هدايا من عند احسن وليدات,positive,positive,positive,positive,positive,positive,positive,positive,positive
تفاصيل الشاب اللي قتلوه بلا رحمة ولا شفقة,negative,negative,negative,negative,positive,positive,positive,positive,positive
شكرا لكم على رسائلكم في يوم ميلادي فرحة لاتوصف عندي أصدقاء مثلكم يحبونني وأحبهم وعائلتي كنموت عليكم ,positive,positive,positive,negative,positive,negative,negative,positive,positive
شكرا ليكم كاااملين على الدعم ديالكم أحبكم وسأظل أحبكم خليكم فجنبي يا أغلى الناس دخلو شوفو آخر أعمالي هنايا وتابعوني باش يوصلكم الجديد ,positive,positive,positive,positive,positive,positive,positive,positive,positive
كنبغي موسيقتي رغم الصعاب والعراقل لي كندوز غادي نكمل ونكافح وإنشاء الله بيكم نتوما غادي نوصل كنتمنى تكونو فجنبي أحبكم يا أغلى الناس ,positive,positive,positive,positive,positive,positive,positive,positive,positive
هاد البنية عزيزة عليا بزاف وماماها الله يخليها ليها تحية واش عرفتوها الفاشنيستا الصغيرة محاسن شكرا جلال على الصور ,positive,negative,negative,negative,negative,positive,negative,negative,negative
مشيت لأحسن شاطئ فالمغرب,positive,negative,negative,positive,negative,positive,positive,positive,positive
شكرا بزااف نور الهدي والله يخلي ليكم جاد هادشي كيحفزني نزيد نخدم شكرا ليكم بزاف على الدعم ديالكم ديرو تانتوما ڤيديوات و صيفطوهالي الدار,positive,negative,negative,positive,positive,positive,negative,positive,positive
سررت بلقائك أخي وصديقي الفنان حديفة شكرا على حسن الضيافة تطوان سيتي,positive,negative,negative,negative,positive,positive,negative,positive,positive
الحمد لله كلشي داز مزيان تسناو الصور والڤيديو ومفاجئة زوينة ,positive,negative,negative,negative,positive,positive,negative,positive,positive
استمتع بوقتك عيش حياتك كلشي فايت ,positive,negative,negative,negative,negative,positive,positive,negative,negative
غادي طيح وتنوض ولاكن متشوفش وراك شوف قدامك وفكر إيجابي الطريق مازال طويلة سييييير ,positive,positive,positive,positive,positive,positive,positive,positive,positive
غادي يجي واحد الوقت غادي تبقى هاد الصورة غير ذكرى كنموت عليكم ,positive,positive,positive,negative,positive,positive,positive,positive,positive
الصيف صيف تحياتي ليكم حبابي ابن جرير,positive,positive,positive,positive,positive,positive,positive,positive,positive
 لحضات لقائي ب زوجي بعد سنة ونصف سنعيش تحت سقف واحد,positive,negative,negative,negative,negative,negative,negative,negative,negative
إنسان لاقاتني بيه الوقت صدفة ولاكن أصبح أعز صديق عندي بمثابة أخ انسان كيبغي الخير لغيرو طموح وعندو عزيمة و إرادة شكرا أخي مراد على الكل راك عزيز ,positive,negative,negative,negative,positive,positive,negative,positive,positive
الأصدقاء لي كيكونو معاك فاش كتكون بيخير و فاش كيوقعو ليك مشاكل و كطيح أون پان كيخويو بيك و كيقلبو عليك ليسو أصدقاء بل أصحاب الحاجة الله يلاقينا بما أحسن ,positive,positive,positive,positive,positive,positive,positive,negative,negative
بالتوفيق للمغرب اختي الصغيرة قالت لي نحط هاد الصورة شحال تستاهل من جيم ابن جرير,positive,positive,positive,negative,positive,negative,positive,positive,negative
أحسن حاجة وقعات ليا هاد الأسبوع تصورو معايا أطفال الصم والبكم و كبرو بيا,positive,negative,negative,negative,positive,negative,negative,negative,negative
كنشوفكم يا أعز الناس كنموت عليكم ابن جرير,positive,positive,positive,positive,positive,positive,positive,positive,positive
وأخيرا حبابي الجديد فهاد الأيام كونو على بال كنبغيكم,positive,positive,positive,positive,positive,positive,positive,positive,positive
هناك اشياء بداخلنا لا تتغير مهما فعلنا ,positive,positive,positive,positive,positive,positive,positive,positive,positive
حبابي توحشتكوم شكون كيتسنا الجديد ,positive,positive,positive,positive,positive,positive,positive,positive,positive
حبابي الناس الزوينين بغيت نعرف كل واحد فيكم من إنا مدينة فكومنطير,positive,positive,positive,positive,positive,positive,positive,positive,positive
حبابي بداية أسبوع موفقة كنموت عليكم ,positive,negative,negative,negative,positive,negative,negative,negative,negative
صاحبك لي بصح صاحبك كيبغيك فوجهك و حتى فظهرك ,positive,negative,negative,negative,negative,negative,negative,positive,positive
ولد بلادك فاش كيكبر بيك كتفرح وكتحس بيه باغي ليك الخير,positive,negative,negative,positive,positive,positive,negative,positive,positive
فاش كنقول غادي نوصل يعني بيكم نتوما و الدعم ديالكم كنفرح فاش كنشوفكم,positive,negative,negative,negative,negative,negative,negative,negative,negative
الحمد لله كلشي داز مزيان شكرا الجمهور لي كان زوين بزاف ,positive,positive,positive,negative,negative,positive,positive,negative,negative
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك,positive,positive,positive,positive,positive,positive,positive,positive,positive
فالتعامل كيفما غادي تشوفني ليوما غادي تشوفني غدا بس كيفما,positive,positive,positive,positive,positive,positive,positive,positive,positive
الناس الزوينين ,positive,positive,positive,positive,positive,positive,positive,positive,positive
خلي حياتك فيها الألوان ماشي كحل و بيض,positive,negative,negative,negative,positive,negative,negative,positive,positive
الحياة زوينة وبزاف عيش و نصيحة بغي الخير للناس تلقاه,positive,positive,positive,positive,positive,positive,positive,positive,positive
ستاغلو وقتكم فحوايج زوينين باش تكونو فرحانين ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الطبيعة فبعض الأوقات كتخليك مرتاح نفسيا شكرا لكل الناس لي كيسولو فيا و كيدعموني كنبغيكم,positive,positive,positive,positive,negative,positive,positive,positive,positive
النفاق فالحياة ديالنا والكذوب ولينا كنعيشوه يوميا حتى ولينا كنشكو ومكنتيقوش,negative,positive,positive,positive,positive,positive,positive,positive,positive
نصيحة من القلب إلى القلب إلى كانت عندك شحاجة فقلبك وبغيتي تقولها متخبيهاش الصراحة راحة,positive,negative,negative,negative,positive,positive,negative,positive,positive
الهضرة بزااااف بلاش الفعل أحسن بس كلشي فالإيجابيات ,positive,negative,negative,negative,negative,positive,positive,negative,negative
صفي نيتك ومتخليش الأفكار السلبية تلعب ليك على العقلية ديالك ,positive,negative,negative,negative,positive,negative,negative,positive,negative
سلام انا فرحان حنت عرفت بزاف ديال الناس جداد فحياتي فهاد السنة ودازو بزاف ديال اللحظات,positive,positive,positive,negative,negative,positive,negative,positive,positive
لي كتبغيه لراسك بغيه لغيرك ,positive,positive,positive,negative,positive,positive,positive,positive,positive
كتبولي الأغنية لي كتعجبكم فكومنطير ,positive,negative,negative,negative,negative,negative,negative,negative,negative
نصيحة اليوم تيق فراسك وحط هدف قدامك وخدم عليه مزيان وحيد عليك الناس لي تهرسك وتهضر فضهرك,positive,positive,positive,negative,positive,negative,positive,positive,positive
سلام وجوه الخير غادي نديرو الغربال شويا لي كيتسنا الجديد يبان هنايا قريبا المفاجأة,positive,negative,negative,negative,negative,negative,negative,negative,negative
عيد أضحى مبارك ابن جرير,positive,negative,negative,negative,negative,negative,negative,negative,negative
تهنئة خاصة يسرنا ويسعدنا أن نتقدم إليكم بأصدق التهاني والتبريكات بمناسبة قرب عيد الأضحى,positive,positive,positive,negative,positive,negative,positive,positive,negative
ليلة سعيدة تحياتي ليكم يا أحسن فانز ,positive,positive,positive,positive,positive,positive,positive,positive,positive
سلام حبابي توحشتكم واش كاين شي صهد عندكوم كنبغيكم بزاف بون ويكاند تسناو الجديد,positive,negative,negative,negative,negative,negative,negative,negative,positive
 خالقين السعادة ,positive,negative,negative,negative,positive,positive,negative,negative,negative
نهاركم مبروك يا أغلى الناس ,positive,positive,positive,negative,positive,positive,positive,positive,positive
الحياة كل واحد وكيف كتجيه الحاصول تهلاو فراسكم واليديكم وحتى لي كيبغيكم أحبكم يا أغلى ناس,positive,negative,negative,negative,negative,negative,positive,negative,negative
كوكو مبروك عيدكم بكل ماتمنيتو فحياتكم كنبغيكم حبيبتي أختي الصغيرة نسرين ,positive,positive,positive,positive,positive,positive,positive,positive,positive
بصحة فطوركم ,positive,negative,negative,negative,negative,negative,negative,negative,negative
كنهديها لكل الأمهات ورمضان مبارك سعيد مدينة ابن جرير,positive,negative,negative,negative,negative,negative,negative,positive,positive
الحمد لله الأب ديالي بخير كنشكر أي واحد صيفط ليا,positive,positive,positive,positive,positive,positive,positive,positive,positive
دعواتكم مع أبي الله يشافيه يا ربي,positive,positive,positive,negative,positive,positive,negative,positive,positive
أختي حبيبتي نسرين أحبك وسأبقى أحبك إلى الأبد قولو ليها بصحة البيسيكليت ,positive,positive,positive,negative,positive,positive,positive,positive,positive
شكرا مراكش تحياتي مراكش,positive,negative,negative,negative,negative,positive,negative,negative,negative
وجوه الخير ناس ديال مراكش موعدنا ليوما مع فدار الثقافة الداوديات بمراكش جيو بزاف كنبغيكم,positive,negative,negative,negative,negative,negative,negative,negative,negative
وأخيرا فنان وأعتز بها فنان وتقاتلت بزااف عليها فنان وفرحان والحمد لله بغيت نشارك معاكم أحلى أوقاتي,positive,negative,negative,negative,positive,positive,negative,positive,positive
قريبا غادي نوريكم واحد الحاجة من شحال هادي وأنا خدام عليها وتحياتي ليكم كنبغيكم بزاف ,positive,positive,positive,negative,negative,positive,positive,negative,negative
وجوه الخير موعدنا يوما الجمعة والأحد المقبلين في ساحة الحرية بمدينة الگارة على الساعة السابعة,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله الحفل داز مزيان والجمهور كان زوين بزاف تحياتي لولاد و بنات بلادي وكشكر سي نورالدين,positive,negative,negative,negative,positive,positive,positive,positive,positive
ولاد وبنات بلادي توحشتكوم موعدنا يوم الأحد أبريل في إختتام مهرجان السينما بإبن جرير ,positive,negative,negative,negative,positive,negative,negative,positive,positive
الحمد لله كلشي داز مزيان شكرا لكل الناس لي كانو حاضرين ,positive,positive,positive,positive,positive,positive,positive,positive,positive
وجوه الخير حنا فالإستعدادات واش واجدين ,positive,negative,negative,negative,positive,positive,negative,positive,positive
نهاركم مبروك بداية أسبوع موفقة ,positive,negative,negative,negative,positive,negative,negative,positive,positive
 عجباتني هاد اللعيبة جاوبوني بالصراحة ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله بالموسيقا ديالي وصلت و دزت فبزاف دالبلايص وهذا شرف كبير ليا وهذا من فضل التشجيعات,positive,positive,positive,positive,positive,positive,positive,positive,positive
شكرا بزاف الناس ديال تممارة الحمد لله الحفل داز مزيان وشكر خاص للسيد ,positive,positive,positive,positive,positive,positive,positive,positive,positive
كل عام والمرأة بألف خير بمناسبة عيد المرأة ,positive,positive,positive,positive,positive,positive,positive,positive,positive
وجوه الخير تسناوني ف طوپ كوڤر مع طوپ تيڤي كنبغيكم ,positive,negative,negative,negative,negative,negative,negative,negative,negative
نصيحة اليوم فكر مزيان قبل مدير أي حاجا وفاش تقتانع عاد خود القرار ,positive,positive,positive,positive,positive,positive,positive,positive,positive
نصيحة اليوم تيق فراسك وكون نتا هو نتا كون داكشي لي بغيتي ماشي داكشي لي بغاو هوما ,positive,negative,negative,negative,positive,negative,positive,positive,positive
صباح الخير كازابلانكا نهاركم مبروك ,positive,negative,negative,negative,positive,negative,negative,positive,positive
أمي الحبيبة كل عام وأنت بخير سنة سعيدة وكل عام وأنت حبيبتي كنبغيك ,positive,negative,negative,negative,positive,negative,negative,positive,positive
نصيحة اليوم كيفما تدين تدان ديرها غير زوينا ,positive,negative,negative,negative,negative,negative,negative,positive,positive
نهاركم مبروك كنصحكم تجيو ديرو دورة فالمعرض الدولي للنشر والكتاب باش تستافدو شوية ,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباح النور مسجد الحسن الثاني الدار البيضاء,positive,positive,positive,positive,positive,positive,positive,positive,positive
حبابي أغلى الناس شكون كيتسنا الجديد يبان هنا ,positive,negative,negative,negative,negative,negative,negative,positive,positive
نهاركم مبروك بغيتكم تسولوني أي سؤال طاح ليكم على بالكم و نحاول نجاوبكم ,positive,negative,negative,negative,negative,negative,negative,negative,negative
كنشوف بعيد وداكشي لي بغيت نوصل ليه كيبانلي قريب بالخدمة والجد أي حاجا ممكنة ,positive,negative,negative,negative,negative,negative,negative,negative,negative
صباح النور ونهاركم مبروك ختي وخويا صغار سمعو الجديد وعجبهم كيقولو ليكم تسناو الجديد ,positive,negative,negative,negative,positive,positive,negative,positive,positive
نهاركم مبروك شكون غادي يتفرج ليوما فالماتش ديال المنتخب المغربي و فناضاركم اشنو غادي يديرو ,positive,negative,negative,negative,negative,positive,negative,positive,negative
نهاركم مبروك واش نتوما لاباس ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله كلشس داز مزيان مع جمعية أميج شكرا بزاف كازا ,positive,negative,negative,negative,negative,negative,negative,negative,negative
شكرا بزاف لأعز الناس لي سولو فيا صراحة مريض بزاف ولاكن كين تحسن الحمد لله كنبغيكم بزاف ,positive,positive,positive,positive,positive,positive,positive,positive,positive
لي عريز عليه يدعي معايا بالشفاء,positive,negative,negative,negative,negative,negative,negative,positive,positive
الفنان الشعبي الحاج موغيت عجباتو أغنية وكيسلم عليكم كاملين ,positive,positive,positive,positive,positive,positive,positive,positive,positive
جلالة الملك محمد السادس يهنئ مجموعة فناير,positive,negative,negative,negative,negative,positive,positive,negative,negative
تحياتي لأحسن فانز فالعالم كنبغيكم ,positive,negative,negative,negative,positive,negative,negative,positive,positive
صباح النور وجوه الخير ,positive,negative,negative,negative,positive,negative,negative,positive,positive
نهاركم مبروك ,positive,positive,positive,negative,positive,positive,positive,negative,negative
سررت بلقائك أخي الإعلامي المتميز ,positive,positive,positive,positive,positive,positive,positive,positive,positive
نهاركم مبروك شكون كيتسنا كنبغيكم ,positive,positive,positive,positive,positive,positive,positive,positive,positive
نهاركم مبروك واش عندكم شي شتا ,positive,positive,positive,positive,positive,positive,positive,positive,positive
الحمد لله داز التصوير مزيان كنشكر فريق العمل و الناس لي شاركو معايا كاملين كنبغيكم بزاف تسناو,positive,positive,positive,negative,positive,positive,positive,positive,positive
الأغنية الجديدة سالات تسناوها قريبا إنشاء الله كنبغيكم بزاف ,positive,positive,positive,negative,negative,positive,positive,negative,negative
سلام وجوه الخير صراحة هادشي زوين أول مرة كنحضر ليه يا سلام ,positive,negative,negative,negative,negative,positive,positive,negative,negative
شكرا بزاف تفكرتوني فعيد ميلادي فاليوم لي ولدوني فيه جوج ديال الناس الواليدين الله يطول فعمرهم ,positive,positive,positive,positive,positive,positive,positive,positive,positive
يوم جميل مع عائلتي الجميلة نهاركم مبروك ,positive,negative,negative,negative,negative,negative,negative,positive,negative
سبحان الله الماء كثير ومكيحبسش والجو زوين بزاف وجوه الخير شكون فايت ليه مشا لهاد البلاصا ,positive,negative,negative,negative,negative,negative,negative,positive,positive
تحياتي ليكم حبابي كنبغيكم جنان عين اسردون,positive,negative,negative,negative,positive,negative,positive,negative,negative
نهاركم مبروك الإستمتاع بالوقت مع عائلتي الجميلة منابع أم الربيع,positive,positive,positive,positive,positive,positive,positive,positive,positive
زيادة جديدة فالعائلة مبروك عمي رشيد تتربا فعزكم إن شاء الله ابن جرير,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباح النور حبابي جمعة مباركة ابن جرير,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباح النور الحب والموسيقى ,positive,positive,positive,negative,positive,positive,positive,positive,positive
عيد مبارك سعيد نهاركم مبروك ,positive,positive,positive,positive,positive,positive,positive,positive,positive
نهاركم مبروك واش غدا العيد الحباب ابن جرير,positive,negative,negative,negative,positive,negative,negative,positive,positive
كنفكر بزاااف وكنعطي وقتي كامل باش تسمعو موسيقى زوينة ونقية ,positive,negative,negative,negative,negative,negative,negative,negative,negative
