text,manually_annotated,weighted_by_logisticRegression,weighted_by_none,weighted_by_f1,weighted_by_auc,weighted_by_recall,weighted_by_precision,weighted_by_accuracy,weighted_by_loss
: كنعرف واحد السيد، ولد دربنا في الزنقة مايهذرش معاك وخا تصرفقوا، ؤ في الواتساب ، والفيس، تحلف عليه ماشي هو، !! لهذا أنا أ…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: عن حذيفة بن اليمان رضي الله عنه قال: كان النَّبيُّ ﷺ إذا أَراد أنْ يَنامَ قال: بِاسمِك اللَّهمَّ أَموتُ وأَحيا، وإذا…,negative,negative,negative,negative,negative,positive,positive,negative,negative
: ليس المؤلم هو الجرم ، فالجرائم بكل مكان ، لكن الكارثة حين يكون المجرم حرّا طليقا . و حين لا يجد الضحية محامي دفاع أو دو…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+73 nouveaux cas --> total :8610 +35 cas de guérision -->total :7618 +1 décès --> total :212 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: شفت الولد المغربي اللي تقتل فإسبانيا تاشي حد مكيهدر عليه؟ ولا حيت متقتلش فأمريكا؟ وحتى الجهات الرسمية صامتة. justice_for_i…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: اعتراف طريقة فعالة : عندما احس بالتكبر و الاعجاب بالذات يتغلغلان لقلبي بسبب كثرة الثناء و الدور الحساس خلال العمل ا…,positive,negative,negative,negative,negative,negative,negative,negative,negative
الله اسهل أمورك 🤛🤜,positive,positive,positive,positive,positive,positive,positive,positive,positive
مال هاد اللبنانيين عاوتاني .... اش طاري عندهم 🤨🤔🤔 لبنان_ينتفض,negative,negative,negative,negative,negative,negative,negative,negative,negative
+29 nouveaux cas --> total :8537 +18 cas de guérision -->total :7583 +0 décès --> total :211 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: قضية إغتصاب الطفلة إكرام قضية مفروشة بالدارجة المعبرة فحتی قراءة التهمة وحال المتابعة غير متناسقين..اغتصاب طفلة والمتهم في…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+71 nouveaux cas --> total :8508 +72 cas de guérision -->total :7565 +1 décès --> total :211 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: هههه سطاني هاد الفيديو 🤣🤣🤣 المغاربة وااااعرين كورونا_المغرب المنطقة2,negative,negative,negative,negative,positive,negative,negative,negative,negative
: المشكيلة الكبيرة في غالبية المجتمع هو أنه بمجرد ماكـتوقف وسائل الإعلام على تغطية قصة او حدث او كارثة ما، كيعتقدو أن القض…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الحمد لله ولينا كنفرحو بإنجازات لي هي مجرد أحكام قضائية جد عادية,negative,positive,positive,negative,negative,positive,positive,negative,negative
: نقدروا نقولوا أن مواقع التواصل الإجتماعي عندها واحد الدور مؤثر فبحال هاد القضايا لي مكتنصفش فيها الضحية. كلنا_اكرام,negative,negative,negative,negative,negative,negative,negative,negative,negative
: شناهما هاد التفاصيل زعما ؟ الطفلة قامت بإغرائه مثلا ؟ بحال هاد الاب غيحيدني من الحالة المدنية,negative,negative,negative,negative,negative,negative,negative,negative,negative
: هذا مثال مهم على القوة التي اصبح عليها الرأي العام و وسائل التواصل الاجتماعي، ويطرح في نفس الوقت تساؤلات عن كفاءة القضاء…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: افينكا آ شوف خيخي تعرفو تنشرو غا الخبث و الفساد و العهر و الاسئلة البايخة تفو ينعل بو رئيس ديك جريدة العار حادقين غا فدنيا بطم…,negative,negative,negative,negative,negative,negative,negative,negative,negative
أسعد الله صباحك 😊🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباحك مبروك 🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباح الخير و التيسير... يوم جديد 🌹🌹🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
: كتعقلو على دوك التلاميذ لي كانو قبل الحصة ب ربع ساعة كيبداو يحلو فالواجبات المنزلية بالزربة باش مايتعاقبوش؟! كبرو دابا و با…,negative,negative,negative,negative,negative,negative,negative,negative,negative
+135 nouveaux cas --> total :8437 +85 cas de guérision -->total :7493 +2 décès --> total :210 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
بالعكس زوينة 😍 اش هاد الغبور .... الناس عياو ميقلبو عليك 🙄🙄,negative,negative,negative,negative,negative,negative,negative,negative,negative
عيد ميلاد سعيد سي سفيان 🎊🎉🎊 بطول العمر إنشاء الله 😍🙏,positive,positive,positive,positive,positive,positive,positive,positive,positive
صباحكم مبروك 🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
طفلة تبلغ ست سنوات يتم إغتصابها من طرف رجل وتم منحه الصراح الؤقت بعد دفعه الكفالة وذللك في ظروف غامضة. كلنا_إكرام,negative,negative,negative,negative,negative,negative,negative,negative,negative
: قضية إكرام لا يمكن أن تمر مرور الكرام، و هي تضعنا أمام مساءلة حقيقية لنزاهة القضاء المغربي. فأي أيادي تعلو فوق سلطة الق…,negative,positive,positive,negative,negative,negative,positive,negative,negative
قريب المجتمع يقبل هاد الطائفة.... يعني هزنا الماء .... لاعبين ناقصين,negative,negative,negative,negative,negative,negative,negative,negative,negative
عيد ميلاد سعيد سي حسن 🎉🎊🎉 بطول العمر و دوام الصحة 🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
+78 nouveaux cas --> total :8302 +44 cas de guérision -->total :7408 +0 décès --> total :208 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
بحال هادو لي كايقراو دوك الكتيبات د 20 درهم لإبراهيم الفقي و كايكول ليك انا مدرب معتمد في التنمية البشرية,negative,negative,negative,negative,negative,negative,negative,negative,negative
: هناك بعض الناس الذين دائماً يحبون السماء مهما كان الطقس ، يوماً ما ستجد شخصاً سيحبك بنفس الطريقة .,negative,positive,positive,negative,positive,negative,positive,negative,negative
: شد في قلبك وابكي على حالك اخي المغربي دون ان يسمعك احد 😣,negative,negative,negative,negative,negative,positive,negative,negative,negative
+1 كاندير زعما محاولة ...كنشري فرنسي و انجليزي ...في نهاية المطاف كنحطهم يتغبرو و نقرا العربية 😍😍,negative,negative,negative,negative,negative,negative,negative,negative,negative
+73 nouveaux cas --> total :8224 +49 cas de guérision -->total :7364 +0 décès --> total :208 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: لي خايب فمواقع التواصل هو لي غبر معندنا خبار عليه يقدر يموت واحنا ماعرفينش 😔😔,negative,negative,negative,negative,negative,negative,negative,negative,negative
": فزمان النية فتويتر ، جات عندي للدي ام واحد بنيوتة تتقرا الميدسين دونتير 😭 قالت لي "" عافاك بغيت نقلبها ميدسين ميليتير شنو…",negative,negative,negative,negative,negative,negative,negative,negative,negative
+80 nouveaux cas --> total :8151 +47 cas de guérision -->total :7315 +0 décès --> total :208 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: خرجوا في رحلة استجمام أكلوا مجتمعين ، جلسوا متقاربين ركبوا في السيارة متقاربين و عندما اجتمعوا للصلاة خافوا من فيروس كور…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الضحك لي ضحكت و الهستريا لي جاتني على الفديو معمرني ضحكتو في حياتي فيقت بابا من نعاس شبع فيا سبان و مقدرتش نسكت,negative,negative,negative,negative,negative,negative,negative,negative,negative
هل اكتشفت الدول الأوروبية مضامين هذه اللعبة؟ هل تم خداعنا بهذا الفيروس ؟ هل كانت محاولة لفبركة أزمة إقتصادية ؟ 🤔🤔🤔,negative,negative,negative,negative,negative,negative,negative,negative,negative
قررت أنه بعد الحجر الصحي سأعمل على تبييض الأموال، ومن أجل ذلك سأشتري عشر دجاجات كخطوة أولى و ذلك بعد ان أكدت لي مصادر متطابقة ان الدجاج ضليع و رائد في فن التبييض. قلة_مايدار,negative,negative,negative,negative,negative,negative,negative,negative,negative
+68 nouveaux cas --> total :8071 +73 cas de guérision -->total :7268 +0 décès --> total :208 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
الله اسهل على الجميع 🙏,positive,positive,positive,positive,positive,positive,positive,positive,positive
عيد ميلاد سعيد لها 🎊🎉🎊 مزيدا من المحبة و المودة 🌹🌹,positive,positive,positive,positive,positive,positive,positive,positive,positive
تخسار الهضرة بلية ... الله اعفو,negative,negative,negative,negative,positive,negative,negative,positive,positive
": حتى لو سمعت قصة سيئة عني، افهم،كان هناك وقت كنت جيدة مع هؤلاء الناس أيضاً،لكنهم لن يخبروك بذلك.""",negative,negative,negative,negative,negative,negative,negative,negative,negative
+81 nouveaux cas --> total :8003 +329 cas de guérision -->total :7195 +2 décès --> total :208 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: الحاجة الوحيدة لي مزال تنديرها هنا فتويتر هي أنني تنجاوب أي واحد هضر معايا بلا ما نشوف شحال عندو من فولوور ولا فوقاش صاوب…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الإعلام الغربي،يوجه الرأي العام الدولي كما يشاء في نفس الأسبوع الذي قُتل فيه فلويد،قُتل فيه إياد،شاب فلسطيني يعاني من مرض…,negative,negative,negative,negative,positive,negative,negative,negative,negative
على إثر ظهور بعض النفاخات بالحساب الشخصي لعقيد دولة كتبانستان .... نتقدم ببرقية تهنئة لعقيدنا المحترم بمناسبة عيد ميلاده سائلين المولى عز و جل ان ينعم عليه بالصحة والعافية 🌹🎉 🎊 🎉 🎊 🎉 🎊 🌹,positive,negative,negative,negative,negative,negative,negative,negative,negative
السمطة كادورر 🙃🙃 2015: واش بغيتو نوليوو بحال سوريا 2020: واش بغيتو نوليوو بحال ميريكان,negative,negative,negative,negative,negative,negative,negative,negative,negative
+56 nouveaux cas --> total :7922 +456 cas de guérision -->total :6866 +0 décès --> total :206 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: متخليوش هدشي ليطاري فالعالم ينسيكم ماتسبوش اكبر شفار laughbdarija,negative,negative,negative,negative,negative,negative,negative,negative,negative
الحياة ليست عادلة ... كل واحد و همو,negative,negative,positive,negative,positive,negative,negative,positive,positive
": هنا فتويتر قدرت نكسب بعض الرفاق الزوينين و المحترمين ذكورا و إناث , على عكس إنستاغرام , وهذا كيدل على أن دماغي أفضل من وجهي.",negative,positive,positive,negative,negative,negative,positive,negative,negative
تمديد حالة الطوارئ بإسبانيا الى غاية 21 يونيو,negative,negative,negative,negative,positive,negative,negative,negative,negative
+33 nouveaux cas --> total :7866 +517 cas de guérision -->total :6410 +1 décès --> total :206 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
صباح الخيير 🌹🌹 خديتي شي اوطوريزاسيون اولا والو,positive,negative,negative,negative,positive,negative,negative,negative,positive
اول حالة اصابة بفيروس كورونا بسيدي افني كانت بميناء المدينة,negative,negative,negative,negative,positive,negative,negative,negative,negative
نسبة الشفاء 75% 🙂 كورونا_المغرب,positive,negative,negative,negative,positive,positive,negative,positive,positive
+26 nouveaux cas --> total :7833 +434 cas de guérision -->total :5893 +0 décès --> total :205 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
+27 nouveaux cas --> total :7807 +58 cas de guérision -->total :5459 +1 décès --> total :205 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
+66 nouveaux cas --> total :7780 +130 cas de guérision -->total :5401 +2 décès --> total :204 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
الله اعطيك الصحة 🙏,positive,positive,positive,positive,positive,positive,positive,positive,positive
: وقتما حسيتي بالبؤس والعكس تفكر بلي هذا الرجل شرى دلاحة 🍉 والتران كان واقف فالمحطة.... ملي تران اتحرك ..اكتشف انها ميمكنش…,negative,negative,negative,negative,negative,negative,negative,negative,negative
: ما حدث لهذا الرجل الأمريكي.. يحدث كل يوم بفلسطين. الفرق هو الضغط الاعلامي... لكن عندما يتعلق الأمر بالمسلمين تخرس جمي…,positive,negative,negative,negative,negative,negative,negative,negative,negative
من الرزة يبان العربون الله اعطيك الصحة 😍😍,positive,positive,positive,negative,positive,positive,positive,positive,positive
الله اعطيك الصحة 🙂,positive,positive,positive,positive,positive,positive,positive,positive,positive
الله اعطيك الصحة,positive,positive,positive,positive,positive,positive,positive,positive,positive
+71 nouveaux cas --> total :7714 +76 cas de guérision -->total :5271 +0 décès --> total :202 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: سي يجب عدم قبول إستقالة شكرا_اليوبي و تكريمه على عمله الجبار منذ بداية الجائحة,negative,positive,positive,negative,positive,negative,positive,negative,negative
: النجم الكبير دينزل واشنطن ينقذ حياة شخص من ذوي البشرة السوداء من الشرطة بعدما نزل من سيارته و قام بحمايته و بقى معه حتى تأكد…,positive,negative,negative,negative,positive,positive,negative,negative,negative
أنباء عن إستقالة محمد اليوبي من منصبه بعد خلاف مع وزير الصحة وكاتبه العام 😥😥,negative,negative,negative,negative,negative,negative,negative,negative,negative
توفي الزعيم السياسي والوزير الأول الأسبق، عبد الرحمان اليوسفي، صباح اليوم الجمعة، عن عمر ناهز 96 سنة.,positive,positive,positive,negative,positive,positive,positive,negative,negative
: لا حول و لا قوة الا بالله قمة العبث مع الاسف المغرب لم يتعلم اي شيء من ازمة كرونا و كل مارأيناه و سمعناه مجرد كلام دون…,negative,negative,negative,negative,negative,negative,negative,negative,negative
الله اسهل عليه,positive,positive,positive,negative,positive,positive,positive,positive,positive
+42 nouveaux cas --> total :7643 +217 cas de guérision -->total :5195 +0 décès --> total :202 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: اودي فاوس الحج سيرو شوفو شي عائلة عندها شي مريض د سرطان علونوهم ب ديك البركة، راه خاص تعرفو المرضى الغير قاطنين بالمدن الكب…,negative,negative,negative,negative,negative,negative,negative,negative,negative
إنا لله و إنا إليه راجعون . اللهم اغفر له و ارحمه و اجعله من أهل الجنة,negative,positive,positive,positive,positive,positive,positive,negative,negative
+24 nouveaux cas --> total :7601 +97 cas de guérision -->total :4978 +0 décès --> total :202 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: فاش تسالي هاد كورونا غادي نبقى نمشي نطل على الجامع واش عامر، باش نعرف واش هادا كلو إيمان فيكم ولا غي طالقينها علينا 😁😁,negative,negative,negative,negative,negative,negative,negative,negative,negative
: كبرت فهولندا فبلد متفتح كتر من القياس و ألي كل شيء فيه مباح ولي حتى الدعارة فيه تعتبر مهنة..فيه جميع أنواع المخدرات الخمر ال…,negative,negative,negative,negative,negative,negative,negative,negative,negative
شكرا ... سأبدا و إن أحسست بردائتها سأتوقف عن القراءة,positive,positive,positive,negative,positive,negative,positive,negative,negative
دراسة ما يجوز و ما لا يجوز في تويتر ، الطريقة القرطبية نموذجا,negative,negative,negative,negative,positive,negative,negative,negative,negative
: ساغتنم مروري القصير اليوم لاقدم تهاني العيد للجميع داعيا الله أن يمتع الجميع بالصحة والهناء وان يرفع الحجر الصحي سريعا ،…,negative,positive,positive,positive,negative,positive,positive,negative,negative
: هذا الحساب أشعر بالخجل كلما نظرت إلى عدد متابعيه. حساب سي حمان من أنشط الحسابات، ولأنه يساهم في إنجاح الحسابات منذ مدة…,negative,negative,negative,negative,positive,positive,positive,negative,negative
+45 nouveaux cas --> total :7577 +107 cas de guérision -->total :4881 +2 décès --> total :202 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: فالتويتر تقدر طرح موضع مهم للنقاش امايهدر معك حد، ولكن تحطو شي بنت تلقى بنادم كايناقش معاها ب 4 ديال حسابات فوكونط ✌️…,negative,negative,negative,negative,negative,negative,negative,negative,negative
إيلا كانت هادي هي المسؤولة عن تربية الأجيال را هزنا الما االإخوان 😱😱😡 معاقبة_المتطاولة_على_نبينا,negative,negative,negative,negative,negative,negative,negative,negative,negative
+99 nouveaux cas --> total :7532 +71 cas de guérision -->total :4774 +1 décès --> total :200 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: خوتي اجيو نعملو احصاء بسيط ن تويتوما بش نتلفو الوقت شتيتو وناخدو فكرة على اجيال الي حاضرة معانا تبارك الله 😅 اذا بغا…,negative,positive,positive,negative,negative,negative,positive,negative,negative
: يقول ابن القيم رحمه الله: عليك بطريق الحق، ولا تستوحش لقلة السالكين، وإياك وطريق الباطل، ولا تغتر بكثرة…,negative,negative,negative,negative,negative,positive,negative,negative,negative
+27 nouveaux cas --> total :7433 +65 cas de guérision -->total :4703 +1 décès --> total :199 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
بنت القايد عندها الدوبل روشارج فالأعياد 😊😊 ألالة عيد ميلاد سعيد بطول العمر و عيد فطر سعيد 🎉 🎉 🎊 🎉 🎊 🎊 🎉,positive,negative,negative,negative,negative,negative,negative,negative,negative
: صلاة العيد في الحجر الصحي، تقبل الله منا ومنكم ياربي 🙏🤲 عيد_الفطر_2020,positive,positive,positive,positive,positive,positive,positive,negative,negative
مبروك العيد بالصحة و العافية وباش ما تمنيتي 🌹🌹🤗🙏,positive,positive,positive,negative,positive,negative,positive,positive,positive
مبروك عيدكم 🎊🎉🎊 اعاده الله علينا و عليكم بالصحة و العافية وأزاح عنا هذا الوباء,positive,positive,positive,positive,positive,positive,positive,positive,positive
أعلنت وزارة الأوقاف والشؤون الإسلامية، مساء اليوم السبت، أن عيد الفطر المبارك يحل بالمغرب يوم غد الأحد 24 ماي الجاري الموافق لفاتح شوال 1441 هجرية، ليكون شهر رمضان الفضيل قد استغرق 29 يوما فقط,negative,negative,negative,negative,positive,negative,negative,negative,negative
": فـ 2015، هادوك لي تطرح عليهم سؤال ""فين كـتشوف راسك من هنا 5 سنين"" أغلبيتهم غايكونو جاوبو خطأ",negative,negative,negative,negative,negative,negative,negative,negative,negative
+74 nouveaux cas --> total :7406 +261 cas de guérision -->total :4638 +1 décès --> total :198 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
": نهار جيت لهاذ الفضاء الازرق, كان كيحسابلي بلي نيفو طالع شويا و بلي الناس ب في الناس, و القرعة فمشيط الراس. مع الوقت كتاشف…",negative,negative,negative,negative,positive,negative,negative,negative,negative
: قصف أرض بر بحر جو 😂🏃,positive,negative,negative,negative,negative,positive,negative,negative,positive
": و مال صحاب""زوين زوين"" باغيز يردو تا الخنونة فريز 🎵 وحنا فلاكريز و كلها ناش على كبالتو 🎵 و مال صحاب التخاريف حكمو البشرية ولا…",negative,negative,negative,negative,negative,negative,negative,negative,negative
هايزنبرغ كيتمنى ليكم عواشر مبروكة 😂,positive,positive,positive,positive,positive,positive,positive,positive,positive
10405 test aujourd'hui 💪💪 121 positif 10284 négatif كورونا_المغرب,negative,positive,positive,negative,positive,negative,positive,negative,positive
+121 nouveaux cas --> total :7332 +97 cas de guérision -->total :4377 +1 décès --> total :197 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: عيقتو و الله ما تفرقو لا بين رمضان لا تا لعبة 😷الهضرة الخاسرة ديما !!!! وايلي ديرو الحساب غا ان ناس صايمين كيطلع لهم هاد ا…,negative,negative,negative,negative,negative,negative,negative,negative,negative
"أكدت شركة الخطوط الجوية الباكستانية (pia) أن طائرة ركاب تابعة لها كان على متنها 107 أشخاص تحطمت اليوم أثناء محاولة الهبوط في مطار كراتشي. الطائرة من طراز ""إيرباص إيه 320"" وكان على متنها 99 راكبا والطاقم المؤلف من 8أشخاص وكانت متوجهة إلى كراتشي. وتحطمت الطائرة على منازل سكنية.",negative,negative,negative,negative,negative,negative,negative,negative,negative
حادثة سقوط طائرة ركاب بكراتشي-باكستان,negative,negative,negative,negative,negative,negative,negative,negative,negative
😱😱 إنا لله وإنا إليه راجعون اللهم اغفر لها وارحمها واجعلها من أهل الجنة يا رب و ارزق أهلها الصبر و السلوان 🤲🤲,negative,positive,positive,positive,positive,positive,positive,negative,negative
: صنع_في_المغرب 🇲🇦🇲🇦 هذه العلامة ستوضع على المنتوجات المغربية في الفترة المقبلة ، لذلك نحن جميعا مدعويين على تشجيع المن…,negative,negative,negative,negative,negative,negative,negative,negative,negative
كنت درت ميزاجور البارح ، ودبا عاد رديت البال لهادشي 🙂,negative,negative,negative,negative,negative,negative,negative,negative,negative
: هاد النظام لي غادي بيه تويتر ! لي بغيت نجاوبو ولقيتو لاغي الرد انسكريني وندير ليه @ ولي عندو شي باب الله يسدو عليه 😒,negative,negative,negative,negative,positive,negative,negative,negative,negative
اللهم يا رب الناس اذهب بأسه و شافيه و عافيه,positive,positive,positive,negative,positive,negative,positive,positive,positive
+78 nouveaux cas --> total :7211 +182 cas de guérision -->total :4280 +2 décès --> total :196 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
الله يرحمو و يوسع عليه 🤲,negative,positive,positive,negative,positive,negative,positive,positive,positive
: فهاد ليلة القدر : بغيت الله يسهل على كلشي . لي مخدامش يخدم . لي معكسة ليه شي حاجة تحل . لي باغي شي حاجة فخاطرو الله يعطي…,negative,negative,negative,negative,negative,positive,positive,negative,negative
غير شافوه بدا كيتشهر فهاد الأونة الأخيرة مع كورونا و هوما يهجمو عليه 😕,negative,negative,negative,negative,negative,negative,negative,negative,negative
: إيلا حسيتي غي ب 1% أنه شي حد غايدير فيك شي خير ومن بعد أيمن عليك ولا غايقولك أنا درتلك ودرتلك غا حبس معاه قبل ماتوحل,negative,negative,negative,negative,negative,negative,negative,negative,negative
ميساج لأي واحد دار لي فولوو و رديتها ليه ومن بعد حيدها را تا أنا كنحييد الفولوو لهاد النوع بكل فرح و سرور 🤷‍♂️,negative,negative,negative,negative,negative,negative,negative,negative,negative
: الهنود نهار تجمعو تفاهمو يطيحو تيك توك على قدو والصراحة خاص العالم يشكرهم على هادشي,negative,negative,negative,negative,positive,negative,negative,negative,negative
9ellet maydar dyal bsse7 😟,negative,negative,negative,negative,positive,positive,negative,positive,positive
+110 nouveaux cas --> total :7133 +197 cas de guérision -->total :4098 +1 décès --> total :194 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
لا حول و لا قوة إلا بالله 😢,negative,negative,negative,negative,positive,negative,negative,positive,positive
كون كانت الصرامة و إدي كل ذي حق حقه، مغايكونش عندنا الفقر كاع الله يهدينا و صافي,negative,negative,negative,negative,positive,negative,negative,negative,negative
للأسف 😢😢💔,negative,positive,positive,negative,positive,positive,negative,positive,positive
الله ايدير شي تاويل د الخير 🤲,positive,positive,positive,negative,positive,positive,positive,positive,positive
: بنادم لي تيجر رجلو مع الأرض 🚮,negative,negative,negative,negative,positive,negative,negative,negative,positive
اللهم ارحمها و اغفر لها 🤲,negative,positive,positive,negative,positive,positive,positive,positive,positive
+71 nouveaux cas --> total :7023 +143 cas de guérision -->total :3901 +1 décès --> total :193 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: أبوقحط و لا الزبل tl فيها ريحة wc ديال الآداب فلافاك.,negative,negative,negative,negative,negative,negative,negative,negative,negative
+82 nouveaux cas --> total :6952 +98 cas de guérision -->total :3758 + 0 décès --> total :192 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
: واااا قولو للبوليس يشدو لينا هاد الخراوات لي ماداخلينش و كايدورو ف الزناقي 🤬,negative,negative,negative,negative,positive,negative,negative,negative,negative
: استاذي واش ممكن توصل صوت الناس اللي مستافذوش من الدعم رغم توصلهم برسالة تؤكد تسجيل طلبهم بنجاح,negative,negative,negative,negative,positive,negative,positive,negative,negative
: وثيقة تاريخية توثق للدعم المالي الذي كان المغاربة يقدمونه للجزائر خلال حرب الاستقلال.,positive,negative,negative,negative,positive,negative,negative,negative,negative
: الإخوان و الأخوات لي عندو شي أم يتهلا فيها و يدوز معاها وقت كتر، ما محتاجينيش نقولكم هادشي، تهلاو آ دراري حاولو تخليوهم…,negative,negative,negative,negative,negative,negative,positive,negative,negative
+129 nouveaux cas --> total :6870 +173 cas de guérision -->total :3660 + 0 décès --> total :192 كورونا_المغرب,negative,negative,negative,positive,negative,positive,positive,negative,negative
